Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,no,no,787433,1024MB,100,425.169,605.03,191.56,30.821249105979998
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,no,no,787433,128MB,184,425.667,5323.388,364.89,29.68050953999186
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,no,no,787433,1769MB,100,425.359,353.817,192.856,32.792056028975765
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,no,no,787433,256MB,100,426.971,2591.757,246.159,29.659769631945
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,no,no,787433,512MB,100,426.464,1246.201,204.329,29.87024701766
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,no,no,787433,5120MB,100,404.975,349.703,182.698,55.693590800399996
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,no,yes,787433,1024MB,100,577.283,390.503,192.784,27.977192219099997
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,no,yes,787433,128MB,100,576.077,3600.957,335.618,26.760990471454996
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,no,yes,787433,1769MB,100,575.249,223.934,193.579,29.81697242576754
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,no,yes,787433,256MB,100,576.132,1726.623,273.969,26.868673009865002
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,no,yes,787433,512MB,100,577.367,825.535,204.36,27.066003663180002
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,no,yes,787433,5120MB,100,556.538,223.615,183.095,47.3141022365
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,yes,no,2177385,1024MB,100,335.898,375.805,197.108,27.838887527579995
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,yes,no,2177385,128MB,100,338.145,3344.646,463.339,26.546674066545002
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,yes,no,2177385,1769MB,100,337.008,214.038,197.947,29.689647553469275
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,yes,no,2177385,256MB,100,338.368,1660.338,278.547,26.6629789814
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,yes,no,2177385,512MB,100,336.462,786.17,210.532,26.84471522341
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,yes,no,2177385,5120MB,100,320.607,215.433,188.195,47.1086812094
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,yes,yes,2177385,1024MB,100,399.518,295.203,195.63,26.74448072224
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,yes,yes,2177385,128MB,100,398.063,2644.085,516.094,25.466992001495
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,yes,yes,2177385,1769MB,100,400.582,170.015,198.699,28.69294927312779
