Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,565877,1024MB,AVERAGE,20,161.307,415.622,1.122,0.967,0.98,1.214,0.906,0.938,0.887,1.271,1.283,0.907,0.91,0.87,0.865,0.907,1.186,0.97,1.211,1.296,0.881,1.352,1.144,1.018,1.485,0.886,0.87,26.32
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,565877,128MB,AVERAGE,20,160.415,3621.686,12.576,1.624,0.954,1.652,0.876,0.883,0.872,1.295,8.801,1.202,0.957,0.866,0.855,3.835,0.847,1.661,40.409,18.016,5.771,10.103,1.284,1.021,0.86,1.065,0.855,119.133
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,565877,1769MB,AVERAGE,20,159.911,246.028,1.397,0.93,0.937,1.21,1.279,0.915,0.91,0.86,0.896,0.987,0.872,0.887,0.867,0.852,0.883,1.02,0.869,0.857,0.844,0.859,0.85,1.082,0.879,0.892,0.866,23.694
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,565877,256MB,AVERAGE,20,160.536,1780.595,3.618,2.629,0.975,0.943,3.019,0.929,0.874,0.857,0.901,0.985,0.924,2.382,0.919,0.865,0.861,1.372,0.886,2.408,1.008,1.113,1.035,0.852,0.935,5.317,3.131,39.732
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,565877,512MB,AVERAGE,20,161.278,865.845,1.437,0.98,1,0.962,0.908,0.93,1.645,0.97,0.901,0.88,1.496,0.866,0.855,0.931,1.186,1.122,1.139,0.886,0.849,1.405,0.903,1.516,0.881,0.852,0.894,26.387
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,1517966,1024MB,AVERAGE,20,162.393,254.263,1.462,0.98,0.942,0.939,0.974,0.935,0.905,1.239,1.115,0.948,1.265,0.975,1.235,1.252,1.228,1.022,1.052,0.914,0.922,0.916,0.904,0.895,1.513,0.912,0.92,26.359
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,1517966,128MB,AVERAGE,20,160.84,2210.532,6.172,1.313,1.003,1.079,1.1,0.922,0.987,0.981,0.983,1.767,0.97,0.9,1.159,0.906,0.935,1.007,1.278,1.101,1.312,2.691,0.982,1.65,1.096,1.581,0.96,34.828
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,1517966,1769MB,AVERAGE,20,162.462,158.151,1.622,0.97,0.976,1.286,0.931,0.918,0.949,1.746,0.983,0.923,0.93,0.897,1.127,0.956,1.084,1.233,1.152,1.221,1.055,1.36,0.897,0.919,0.898,0.918,1.07,27.014
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,1517966,256MB,AVERAGE,20,161.19,1086.648,3.495,1.034,1.01,0.943,0.901,0.917,0.932,0.929,1.215,0.934,1.024,0.913,2.568,0.903,3.203,0.912,0.885,0.895,0.889,1.04,0.882,0.876,0.958,0.897,0.92,30.069
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,1517966,512MB,AVERAGE,20,159.849,515.001,1.539,1.713,0.984,0.979,0.981,0.94,0.916,0.891,2.204,0.926,1.309,0.941,0.918,1.101,0.924,0.925,0.898,1.671,1.121,0.921,0.932,0.913,0.913,0.902,1.832,28.288
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,565877,1024MB,AVERAGE,20,153.154,351.473,1.947,1.967,1.061,1.017,1.052,1.401,1.578,1.837,1.378,1.84,3.273,2.447,1.784,1.642,2.351,2.047,2.21,2.194,2.062,1.824,2.833,1.681,2.073,1.697,1.614,46.805
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,565877,128MB,AVERAGE,20,151.187,3488.629,9.688,1.937,1.403,3.398,4.418,8.271,5.188,5.934,16.63,25.148,25.779,43.733,37.382,35.242,45.534,81.338,59.122,57.803,40.12,36.156,28.996,17.599,30.603,34.709,20.447,676.572
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,565877,1769MB,AVERAGE,20,153.708,210.035,1.266,1.514,1.014,1.916,0.987,1.609,0.932,1.014,0.997,1.335,0.947,1.966,1.735,1.881,1.832,2.237,1.758,2.43,2.22,1.862,2.963,1.864,2.512,1.529,1.4,41.713
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,565877,256MB,AVERAGE,20,151.883,1631.9,6.011,1.166,2.518,1.007,4.029,1.002,2.086,1.588,1.668,2.461,1.98,6.051,3.978,7.552,9.537,22.138,15.85,14.343,12.441,14.12,14.645,28.785,12.405,12.71,15.331,215.396
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,565877,512MB,AVERAGE,20,155.964,741.091,4.005,1.125,2.193,1.46,2.016,1.553,1.325,0.993,1.262,1.318,1.575,3.597,1.787,3.296,3.767,3.31,2.894,3.502,4.302,3.792,5.433,3.073,2.955,4.02,2.529,67.077
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,1517966,1024MB,AVERAGE,20,154.632,252.393,2.681,1.091,1.776,1.058,0.994,1.339,1.428,1.326,1.124,1.856,1.942,1.537,2.821,3.055,2.284,2.741,1.824,3.209,2.186,2.085,2.356,1.644,2.161,1.919,2.17,48.6
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-128,dotnetcore3.1,arm64,yes,yes,1517966,128MB,AVERAGE,20,152.732,2628.321,16.385,3.368,1.483,1.361,1.156,1.1,1.487,1.75,7.274,14.456,52.936,29.317,33.875,28.538,43.866,56.588,49.324,55.544,35.689,52.384,39.282,45.155,34.23,22.74,50.344,679.626
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-1769,dotnetcore3.1,arm64,yes,yes,1517966,1769MB,AVERAGE,20,151.734,156.306,2.226,1.412,1.038,1.137,1.304,0.956,0.986,1.465,1.852,2.797,2.646,2.562,2.143,2.29,2.198,1.967,2.367,2.504,2.567,1.708,2.465,2.212,2.098,1.364,2.327,48.585
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-256,dotnetcore3.1,arm64,yes,yes,1517966,256MB,AVERAGE,20,151.407,1210.853,5.454,3.429,0.982,1.022,1.002,0.953,1.04,3.233,3.53,9.534,6.791,14.056,12.962,10.634,11.991,12.105,15.713,12.854,9.379,12.623,20.686,8.54,15.867,16.161,11.749,222.284
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-512,dotnetcore3.1,arm64,yes,yes,1517966,512MB,AVERAGE,20,152.436,538.552,1.758,2.308,1.068,1.094,1.029,1.974,1.269,1.032,3.18,2.445,1.457,3.312,2.869,1.648,1.959,2.977,4.043,3.758,4.978,4.321,3.925,3.299,3.42,2.749,4.084,65.948
AwsSdk,AwsSdk-Core31-x64-NoTC-NoR2R-1024,dotnetcore3.1,x86_64,no,no,565873,1024MB,AVERAGE,20,175.233,341.854,1.384,1.265,1.107,1.045,0.903,0.98,1.057,0.931,2.044,0.931,0.938,1.034,1.326,1.195,1.502,1.738,0.995,1.056,1.415,1.234,1.035,0.902,1.026,1.038,0.889,28.964
