Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,565868,1024MB,AVERAGE,100,163.23,418.816,1.389,1.157,1.153,1.095,0.998,1.114,1.186,0.954,1.057,0.953,1.154,1.106,1.126,1.152,1.032,1.049,1.036,0.96,1.154,1.014,1.089,1.07,1,0.95,1.15,27.098
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,565868,128MB,AVERAGE,100,163.189,3655.154,8.376,1.506,1.095,1.103,1.38,1.227,2.481,1.297,2.006,1.615,1.735,1.076,1.185,1,1.354,1.053,34.115,18.699,11.34,7.654,6.676,1.966,2.148,1.275,1.206,114.566
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,565868,1769MB,AVERAGE,100,162.537,248.241,1.368,1.046,0.95,1.094,1.028,1.057,1.116,0.969,1.036,1.236,1.421,0.956,0.897,1.061,0.894,1.036,1.141,0.905,1.212,0.949,0.953,1.072,1.04,1.042,1.002,26.482
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,565868,256MB,AVERAGE,100,163.35,1806.566,3.603,1.77,1.728,1.564,1.664,0.932,1.356,1.239,1.611,1.172,2.503,1.523,1.059,0.891,1.336,1.631,0.899,1.939,1.343,0.988,1.097,0.898,1.544,1.131,1.234,36.652
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,565868,512MB,AVERAGE,100,163.117,869.781,1.541,1.239,1.172,1.225,0.938,0.988,0.913,0.9,1.062,0.962,1.581,0.912,0.908,1.601,1.202,0.966,0.931,1.003,0.881,1.074,1.255,1.083,0.959,1.072,1.296,27.663
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,1517958,1024MB,AVERAGE,100,162.322,255.21,1.41,1.078,1.121,1.219,1.031,1.287,1.14,1.058,1.017,1.032,1.191,1.052,0.996,0.927,1.208,1.102,1.13,1.094,1.052,0.921,1.052,0.931,1.079,1.262,0.918,27.306
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,1517958,128MB,AVERAGE,100,161.81,2226.429,6.171,4.221,1.859,2.679,2.437,1.148,4.382,1.885,2.21,3.548,1.203,1.227,1.13,1.931,2.268,1.204,2.796,1.384,1.01,3.287,2.494,1.26,1.427,1.874,0.963,55.995
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,1517958,1769MB,AVERAGE,100,163.423,156.609,1.784,1.11,1.399,1.052,1.05,1.157,1.088,1.021,1.011,1.186,1.219,1.087,1.143,1.057,1.345,1.096,1.135,0.953,1.063,1.093,1.098,1.188,1.088,1.065,1.117,28.604
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,1517958,256MB,AVERAGE,100,162.163,1090.185,3.176,1.214,1.324,1.513,0.971,1.165,1.046,1.152,1.326,1.336,0.929,1.344,1.215,1.099,1.975,1.835,1.795,1.366,0.975,1.281,1.023,0.997,1.843,1.251,0.954,34.103
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,1517958,512MB,AVERAGE,100,162.283,523.362,1.711,1.224,1.429,1.731,0.975,0.952,0.939,1.268,1.204,1.411,1.799,1.031,1.097,1.119,1.034,1.178,1.502,1.09,1.172,1.093,1.001,0.996,1.201,1.122,1.059,30.336
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,565868,1024MB,AVERAGE,100,154.702,353.075,1.733,1.418,1.703,1.45,1.398,1.311,1.124,1.897,1.462,2.012,2.162,2.267,2.271,2.266,2.837,2.155,2.091,2.685,1.881,2.25,2.223,2.325,1.866,2.161,1.977,48.923
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,565868,128MB,AVERAGE,100,154.525,3552.25,8.671,3.67,1.915,1.2,2.313,4.488,2.139,6.79,7.708,14.211,19.964,21.202,34.299,30.667,41.382,87.314,67.717,60.771,45.625,33.07,34.427,27.699,25.541,24.526,24.677,631.986
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,565868,1769MB,AVERAGE,100,154.922,213.785,1.7,1.563,1.209,1.617,1.535,1.202,1.445,1.135,1.392,1.694,1.528,1.8,1.805,2.33,2.227,2.025,2.399,2.154,2.266,2.147,2.144,2.111,2.156,2.143,2.177,45.905
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,565868,256MB,AVERAGE,100,153.671,1661.056,7.515,3.165,1.778,1.231,1.291,3.075,3.719,3.519,2.929,7.164,6.308,10.797,11.118,11.933,10.403,14.977,14.548,16.716,15.414,14.203,10.92,12.023,11.352,9.008,8.341,213.446
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,565868,512MB,AVERAGE,100,155.636,743.598,2.092,1.31,2.007,1.696,1.337,1.557,1.507,1.312,1.416,2.068,1.649,2.029,2.458,2.97,3.724,4.139,3.409,3.827,3.842,3.138,3.2,2.743,2.346,3.652,3.285,62.711
AwsSdk,AwsSdk-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,1517958,1024MB,AVERAGE,100,154.874,254.452,1.855,1.219,1.438,1.452,1.452,1.377,1.224,1.352,1.7,2.201,2.143,2.314,2.212,1.995,1.984,2.207,2.506,2.267,2.388,2.224,2.127,2.265,2.184,1.863,2.233,48.18
