Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used,Cost,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Used-26,Used-27,Used-28,Used-29,Used-30,Used-31,Used-32,Used-33,Used-34,Used-35,Used-36,Used-37,Used-38,Used-39,Used-40,Used-41,Used-42,Used-43,Used-44,Used-45,Used-46,Used-47,Used-48,Used-49,Used-50,Used-51,Used-52,Used-53,Used-54,Used-55,Used-56,Used-57,Used-58,Used-59,Used-60,Used-61,Used-62,Used-63,Used-64,Used-65,Used-66,Used-67,Used-68,Used-69,Used-70,Used-71,Used-72,Used-73,Used-74,Used-75,Used-76,Used-77,Used-78,Used-79,Used-80,Used-81,Used-82,Used-83,Used-84,Used-85,Used-86,Used-87,Used-88,Used-89,Used-90,Used-91,Used-92,Used-93,Used-94,Used-95,Used-96,Used-97,Used-98,Used-99
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnetcore3.1,arm64,no,no,no,565874,1024MB,100,164.616,426.757,98.893,6.997,1.494,1.184,1.118,1.114,0.951,0.93,1.012,0.912,0.956,0.955,1.075,0.914,0.92,0.941,1.015,0.946,0.947,0.964,0.965,0.922,0.933,0.931,0.927,0.943,0.993,0.911,1.037,0.937,0.989,0.92,0.962,0.949,0.953,0.963,0.928,1.021,0.93,1.015,0.923,0.905,0.916,0.903,0.897,0.883,0.956,0.89,0.907,0.893,0.88,0.97,0.903,0.913,0.896,0.922,0.908,0.866,0.992,0.894,0.902,0.88,0.903,1.146,1.273,0.998,1.453,1.096,0.955,1.328,1.018,1.216,1.273,1.088,1.221,1.174,1.222,0.942,0.911,1.212,1.015,0.972,1.019,0.955,1.04,1.121,1.004,1.014,1.026,0.944,1.065,0.937,1.17,0.934,1.011,0.897,1.041,0.978,0.954,1.014,0.878
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnetcore3.1,arm64,no,no,no,565874,128MB,100,164.099,3693.209,218.227,6.517,10.709,2.651,1.668,1.309,1.533,1.584,1.12,1.188,2.431,0.969,1.096,1.133,1.135,1.164,1.714,1.336,12.441,14.87,9.582,14.636,10.826,8.393,8.237,3.386,2.264,1.531,2.031,2.453,1.411,1.341,2.395,1.984,2.066,1.16,1.472,1.181,1.176,1.233,1.293,1.129,1.129,2.125,1.305,1.412,1.048,1.093,1.527,1.319,1.242,1.266,1.403,1.374,1.527,1.311,1.11,1.466,1.464,1.428,1.157,1.249,1.676,1.208,1.373,1.24,1.106,1.096,1.186,1.229,1.709,1.2,1.21,1.227,1.223,1.468,1.287,1.081,1.531,1.125,0.938,1.234,1.168,1.235,1.08,1.282,1.485,1.247,1.076,1.274,1.764,1.375,1.225,1.123,1.458,1.374,1.122,1.459,1.183,1.348,1.422
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnetcore3.1,arm64,no,no,no,565874,1769MB,100,164.141,252.23,98.794,8.059,1.757,1.453,1.013,1.023,0.98,0.949,0.927,0.912,0.919,1.003,0.942,0.961,0.943,0.928,1.002,0.945,0.983,0.917,0.917,0.956,0.948,0.935,0.929,0.972,0.906,0.965,0.902,0.989,0.952,0.897,0.951,0.958,0.957,0.948,0.964,1.049,1.003,0.975,0.963,0.919,0.914,0.904,0.879,0.897,0.891,0.932,0.904,0.884,0.882,0.951,0.94,0.924,0.909,1.126,0.902,0.88,0.889,0.88,0.947,0.894,0.891,0.884,1.075,0.977,1.097,0.879,1.205,1.014,1.184,1.215,1.167,1.135,1.215,1.207,1.014,0.965,1.014,1.11,1.049,0.949,0.931,1.156,0.942,1.158,1.085,0.953,0.897,1.022,1.034,0.999,1.041,1.148,1.031,1.08,0.895,1.269,0.886,1.025,1.163
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnetcore3.1,arm64,no,no,no,565874,256MB,100,163.717,1825.869,126.84,6.506,4.292,1.877,1.32,1.296,0.953,0.919,0.916,0.934,0.928,0.897,1.117,0.919,0.927,0.948,0.939,1.01,0.94,0.896,0.934,0.892,0.933,0.919,0.917,0.921,0.872,1.026,1.489,2.071,1.053,1.455,2.206,2.508,4.309,2.795,2.28,2.874,3.324,2.998,3.263,2.002,2.005,1.545,1.833,1.528,1.823,1.168,0.936,0.89,1.139,0.896,1.185,0.866,1.613,0.936,1.744,1.349,1.528,0.867,0.878,1.707,0.951,1.141,0.897,1.167,0.941,0.895,0.985,1.4,0.911,0.87,0.95,0.894,0.883,0.902,0.884,0.99,0.848,0.896,0.921,0.84,0.909,0.876,0.86,0.861,0.889,0.915,0.944,0.87,0.905,1.067,0.948,0.941,0.877,0.875,0.935,0.859,0.87,0.886,0.888
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnetcore3.1,arm64,no,no,no,565874,512MB,100,164.926,884.674,103.321,6.581,1.68,1.324,1.038,1.052,0.988,0.939,0.922,0.937,1.02,0.921,0.937,0.914,0.931,1.027,0.956,0.911,0.91,0.905,0.954,1.004,0.925,0.921,0.926,0.954,0.989,0.91,1.136,0.927,0.917,0.92,0.926,0.925,0.939,0.936,0.926,0.925,0.913,0.91,0.922,0.912,0.926,0.931,0.894,0.89,0.899,0.888,0.91,0.914,0.955,1.174,1.089,1.074,0.908,0.944,0.979,1.532,1.452,1.077,0.881,1.146,1.209,1.03,1.374,1.448,1.289,1.527,1.198,1.156,1.293,1.429,1.432,1.41,1.543,1.121,1.826,1.016,1.264,0.956,0.878,1.125,1.305,0.891,0.987,0.898,0.952,1.213,0.861,1.035,0.889,0.878,0.88,0.869,1.289,0.881,0.881,0.886,0.902,0.911,0.9
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnetcore3.1,arm64,no,no,no,565874,5120MB,100,157.845,239.903,99.174,22.537,1.228,0.988,1.002,1.053,1.116,1.012,0.974,0.956,1.055,0.974,1.451,1.064,0.938,1.032,0.998,0.934,0.936,0.919,0.924,0.928,0.918,0.946,0.918,0.951,0.969,0.94,0.981,0.922,1.026,0.95,0.948,1.058,0.936,0.919,0.925,0.958,0.919,0.929,0.926,0.994,0.991,0.977,0.945,0.908,0.988,1.013,0.959,0.902,1.06,1.033,0.915,0.896,0.928,0.971,0.909,0.923,0.919,0.892,0.95,1.003,0.96,0.975,0.929,1.003,1.044,1.057,0.998,0.993,1.09,1.171,1.164,1.039,1.163,1.014,1.232,1.049,1.111,1.021,1.011,1.033,1.089,0.903,1.102,1.085,1.038,0.965,1.127,0.993,1.032,0.974,1.016,1.027,0.968,1.148,0.904,0.939,1.097,1.086,1.027
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnetcore3.1,arm64,no,no,yes,565874,1024MB,100,191.128,418.345,99.047,6.885,1.641,1.221,1.214,1.003,0.983,1.035,0.928,0.977,0.926,0.943,1.074,1,0.932,0.916,0.976,0.958,1.021,0.955,1.035,0.905,0.926,0.901,0.899,0.944,0.922,0.901,1.036,0.931,0.952,0.958,0.953,0.947,0.931,0.952,0.97,0.933,0.901,0.906,0.99,0.896,0.93,0.935,0.923,0.961,0.9,0.979,0.968,0.924,0.952,0.903,0.9,0.907,0.972,0.878,0.956,0.963,0.909,0.954,0.901,0.901,0.955,1.1,1.041,0.971,0.968,1.036,0.954,0.952,0.999,1.212,0.974,1.012,1.173,1.16,0.977,1.152,1.025,1.005,1.013,0.891,0.884,0.974,1.071,1.278,0.948,1.15,1.156,1.384,1.035,1.277,1.016,1.149,0.959,0.943,1.041,0.908,1.006,1.253,1.047
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnetcore3.1,arm64,no,no,yes,565874,128MB,100,189.166,3665.621,157.884,6.37,8.001,3.215,14.624,7.561,3.083,1.663,1.173,0.998,1.115,0.99,1.167,1.029,1.238,1.773,1.694,1.788,1.451,1.207,1.266,1.342,1.05,1.088,1.147,1.185,1.402,1.754,1.264,1.596,1.111,2.157,1.392,1.325,2.101,1.375,1.243,1.112,1.188,1.291,1.099,1.052,1.163,1.097,1.229,1.273,1.225,0.941,1.088,1.621,1.602,1.234,1.283,1.257,1.21,1.355,1.323,1.038,1.2,1.374,1.108,1.165,1.328,1.325,1.112,1.351,1.161,1.089,1.55,1.206,1.453,1.273,1.357,1.37,1.698,1.428,1.17,1.322,1.092,0.958,1.097,1.051,1.585,1.045,1.313,1.127,1.246,1.388,1.133,1.293,1.505,1.093,1.129,1.197,1.382,1.361,1.505,1.352,1.176,1.211,1.363
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnetcore3.1,arm64,no,no,yes,565874,1769MB,100,189.101,247.9,99.306,7.975,1.59,1.321,1.052,0.991,1.006,0.931,0.936,1.033,0.924,1.101,1.018,1.023,0.952,0.915,0.999,1.025,0.952,0.972,1.103,0.943,0.927,0.955,0.95,0.929,0.932,1.046,0.953,0.945,0.942,0.953,0.947,0.925,0.952,0.983,1.022,1.014,0.906,0.926,0.934,0.92,0.894,0.914,0.904,0.917,0.894,0.894,0.927,0.908,0.897,0.875,0.923,0.89,0.915,0.894,0.935,0.923,0.895,0.972,0.876,0.947,0.916,0.895,0.966,0.961,1.148,1.082,0.974,1.17,0.964,1.477,1.015,1.047,0.933,1.015,1.022,1.088,1.269,1.137,0.903,1.011,1.219,0.91,1.199,1.2,1.102,1.106,1.201,1.12,1.139,1.02,1.095,1.008,0.895,0.958,1.099,1.005,1.056,0.988,0.958
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnetcore3.1,arm64,no,no,yes,565874,256MB,100,190.142,1799.978,126.359,6.418,4.181,1.299,1.068,0.979,0.991,0.91,0.917,0.947,0.92,0.922,0.917,0.91,0.911,0.952,0.925,1.008,0.924,0.926,0.914,0.937,1.393,1.112,0.911,0.967,2.396,1.638,2.946,3.042,3.441,1.531,1.737,2.286,1.984,1.86,1.672,1.483,2.276,0.954,1.276,0.978,1.414,0.885,0.873,0.909,0.889,1.323,1.597,0.93,1.327,0.892,1.09,0.956,0.884,2.085,2.206,1.498,1.176,2.97,1.888,1.549,1.912,1.584,0.897,1.293,0.9,1.523,0.909,1.562,1.311,1.211,0.879,1.547,1.292,0.889,0.997,0.909,0.901,0.957,1.013,0.916,0.883,0.93,0.889,0.945,0.885,0.876,0.941,0.922,0.878,0.873,0.905,0.881,1.112,0.928,0.892,0.898,0.882,0.889,0.872
