Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,no,no,565862,1024MB,100,410.784,9.838,86.076,21.4788663943
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,no,no,565862,128MB,100,409.084,103.282,165.693,20.648294574795
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,no,no,565862,1769MB,100,409.316,9.559,85.124,22.38093222882537
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,no,no,565862,256MB,100,407.888,42.457,108.697,20.703849519235
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,no,no,565862,512MB,100,408.599,16.991,91.16,20.92100960503
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,no,no,565862,5120MB,100,389.373,9.649,78.772,26.094756140299996
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,no,yes,565862,1024MB,100,430.64,9.605,79.587,21.38923127946
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,no,yes,565862,128MB,100,429.481,105.117,102.834,20.546586732924997
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,no,yes,565862,1769MB,100,428.111,9.853,80.27,22.27590193544736
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,no,yes,565862,256MB,100,429.555,43.775,83.19,20.623219782754997
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,no,yes,565862,512MB,100,430.896,17.513,80.674,20.854579939549996
AwsSdk,AwsSdk-Core31-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,no,yes,565862,5120MB,100,406.652,9.684,78.015,26.046595899499994
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,yes,no,1517865,1024MB,100,313.786,9.529,84.449,21.45304093184
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,yes,no,1517865,128MB,100,315.514,90.391,161.587,20.619965099815
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,yes,no,1517865,1769MB,100,315.502,8.453,84.701,22.34569255913832
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,yes,no,1517865,256MB,100,314.365,34.569,112.309,20.689592781285
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,yes,no,1517865,512MB,100,314.733,16.39,90.056,20.909640881519998
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,yes,no,1517865,5120MB,100,299.177,9.749,79.723,26.1648364907
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,yes,yes,1517865,1024MB,100,332.438,8.495,79.278,21.37031518488
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,yes,yes,1517865,128MB,100,331.493,87.861,101.507,20.5156149114
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,yes,yes,1517865,1769MB,100,334.794,8.956,79.424,22.23575833368869
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,yes,yes,1517865,256MB,100,329.078,35.212,82.017,20.590765287149996
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,yes,yes,1517865,512MB,100,332.855,16.907,80.309,20.848113907219997
AwsSdk,AwsSdk-Core31-Arm64-NoTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,yes,yes,1517865,5120MB,100,318.382,9.258,79.822,26.138723026799997
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,no,no,565862,1024MB,100,367.063,6.073,93.989,21.534172004160002
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,no,no,565862,128MB,100,367.951,50.756,556.643,21.2123362283225
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,no,no,565862,1769MB,100,366.924,5.777,93.606,22.489187277910414
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,no,no,565862,256MB,100,366.941,17.069,165.866,20.809787715589998
AwsSdk,AwsSdk-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,no,no,565862,512MB,100,369.158,6.977,100.718,20.917971589839997
