Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,17809,1024MB,AVERAGE,20,162.143,9.304,1.286,0.808,0.775,0.796,0.774,0.795,0.774,0.774,0.827,0.762,0.779,0.954,0.783,0.743,0.761,0.76,0.982,1.632,0.756,0.762,0.746,0.738,0.761,0.816,0.76,21.098
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,17809,128MB,AVERAGE,20,160.282,100.537,4.453,1.406,0.901,0.817,0.79,0.77,0.907,0.773,0.853,0.753,1.209,0.741,0.896,1.001,0.751,0.78,4.505,0.742,0.744,0.748,0.743,0.753,0.736,2.75,0.754,30.27
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,17809,1769MB,AVERAGE,20,164.374,9.37,0.892,0.751,0.776,0.799,0.784,0.798,0.762,0.918,0.761,0.736,0.772,0.756,0.786,0.776,0.761,0.747,0.753,0.759,0.746,0.994,0.755,0.767,0.785,0.751,0.749,19.626
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,17809,256MB,AVERAGE,20,164.1,45.08,1.862,0.859,0.818,0.86,0.809,0.785,0.776,1.353,0.785,0.769,0.77,1.766,0.768,0.744,0.769,0.745,0.772,0.756,2.951,0.757,0.776,0.779,0.907,0.765,0.796,24.495
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,17809,512MB,AVERAGE,20,165.278,15.915,0.925,0.809,0.817,0.814,0.806,0.778,0.75,0.789,0.821,0.773,0.813,1.034,0.739,0.738,0.74,1.008,1.012,0.77,0.757,0.901,0.755,0.945,0.761,0.736,0.762,20.547
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,14188,1024MB,AVERAGE,20,163.362,8.446,0.903,0.743,0.79,0.775,0.761,0.773,0.768,0.773,0.782,0.771,0.983,0.747,0.746,0.76,0.751,0.755,0.766,0.749,0.74,0.734,0.754,0.779,0.771,0.801,0.728,19.399
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,14188,128MB,AVERAGE,20,163.399,85.287,7.767,1.76,0.878,0.858,0.804,0.782,0.766,0.921,0.913,0.764,0.761,0.82,0.961,0.772,0.764,0.812,0.754,0.742,0.776,0.762,0.742,0.747,0.739,0.721,0.732,27.813
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,14188,1769MB,AVERAGE,20,161.743,8.454,0.947,0.789,0.761,0.779,0.916,0.791,0.77,0.765,0.812,0.769,0.79,0.758,0.744,0.767,0.757,0.822,1.457,0.764,0.73,0.744,0.771,0.74,0.76,0.748,0.761,20.202
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,14188,256MB,AVERAGE,20,162.06,28.641,1.631,0.868,0.836,0.803,0.75,0.779,0.787,0.759,1.322,1.014,0.77,0.794,0.757,0.776,0.739,1.512,0.725,0.795,0.751,1.221,0.738,0.795,0.754,0.739,0.724,22.132
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,14188,512MB,AVERAGE,20,160.847,13.014,0.971,0.83,0.791,0.791,0.815,0.759,0.768,0.79,0.803,0.738,0.839,0.744,0.812,0.767,0.766,0.819,1.016,0.765,0.765,0.768,0.784,0.755,0.731,0.775,0.737,19.894
