Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,17807,1024MB,AVERAGE,100,162.858,9.348,0.893,0.785,0.785,0.771,0.807,0.791,0.87,0.759,1.118,0.82,1.034,0.784,0.837,0.758,0.788,0.774,0.854,0.861,0.763,0.78,0.778,0.832,0.761,0.743,0.753,20.5
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,17807,128MB,AVERAGE,100,161.585,99.878,7.103,1.556,0.844,0.844,0.818,0.795,0.768,0.879,0.832,1.328,0.821,0.78,0.821,0.788,0.821,1.107,0.805,0.821,0.771,0.882,0.776,0.77,0.747,0.843,0.909,28.228
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,17807,1769MB,AVERAGE,100,162.8,9.339,0.882,0.804,0.782,0.796,0.797,0.783,0.761,0.76,0.754,0.779,0.857,0.923,0.798,0.888,0.769,0.994,0.91,0.755,0.799,0.745,0.76,0.879,0.759,0.761,0.825,20.317
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,17807,256MB,AVERAGE,100,162.672,43.117,1.752,0.966,0.814,0.81,0.806,0.787,0.797,0.748,0.859,0.921,0.862,0.764,0.88,0.764,0.787,0.743,0.772,0.874,0.74,0.759,1.18,0.761,1.398,0.766,0.734,22.042
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,17807,512MB,AVERAGE,100,162.154,15.464,1.052,0.806,0.789,0.799,0.795,0.763,0.923,0.751,0.746,0.867,1.024,0.764,0.747,1.094,0.768,0.881,0.792,0.821,0.75,0.784,0.8,0.786,0.755,0.875,0.743,20.675
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,14175,1024MB,AVERAGE,100,162.744,8.465,1.077,0.836,0.81,0.787,0.794,0.791,0.771,0.817,0.807,0.798,0.861,0.828,0.753,0.764,0.887,0.796,0.759,0.788,0.784,0.749,0.877,0.767,0.766,0.789,0.748,20.205
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,14175,128MB,AVERAGE,100,162.861,90.721,4.988,1.642,0.815,0.82,0.798,0.873,0.776,0.809,0.909,1.064,0.909,0.984,0.944,0.825,1.614,0.822,0.766,0.859,0.794,0.9,0.818,0.807,1.09,0.828,0.922,27.375
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,14175,1769MB,AVERAGE,100,162.578,8.467,0.984,0.796,0.778,0.788,0.782,0.801,0.768,0.759,0.849,0.817,0.802,0.911,0.757,0.756,0.954,0.775,0.762,0.747,0.765,0.787,0.76,0.886,0.746,0.758,0.795,20.081
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,14175,256MB,AVERAGE,100,162.276,32.811,2.255,0.848,0.816,0.813,0.804,0.787,0.785,0.76,0.844,1.355,0.776,0.783,0.764,0.87,0.805,0.826,0.837,0.969,0.806,0.763,1.117,0.851,0.796,0.872,0.989,22.889
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,14175,512MB,AVERAGE,100,163.687,13.376,0.973,0.833,0.813,0.812,0.798,0.785,0.78,0.779,0.8,0.839,0.824,0.799,0.769,0.823,0.774,0.792,0.789,0.779,0.783,0.753,0.84,0.797,0.765,0.856,0.755,20.11
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,17807,1024MB,AVERAGE,100,154.412,6.287,0.972,0.879,0.972,0.968,0.834,0.926,0.846,0.795,0.883,0.885,1.024,1.033,0.894,0.922,1.022,1.009,1.118,1.026,1.214,1.271,1.284,1.232,1.235,1.182,1.038,25.462
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,17807,128MB,AVERAGE,100,154.33,63.333,3.754,1.406,0.981,1.649,0.96,1.564,1.607,1.264,1.633,1.87,3.277,7.882,6.398,10.453,8.579,9.202,7.407,7.284,6.462,8.729,10.839,11.641,10.608,11.152,9.439,146.04
