Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,no,no,17801,1024MB,100,162.08,10.896,77.273,21.375600544639997
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,no,no,17801,128MB,100,162.366,102.693,110.096,20.55465043991
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,no,no,17801,1769MB,100,162.696,9.708,77.551,22.209907309902967
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,no,no,17801,256MB,100,162.434,46.87,82.803,20.632243827875
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,no,no,17801,512MB,100,162.921,17.525,78.201,20.83817319085
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,no,no,17801,5120MB,100,156.004,10.664,77.263,26.0617959755
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,no,yes,17801,1024MB,100,187.166,9.403,78.681,21.374452538899998
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,no,yes,17801,128MB,100,186.627,98.641,112.327,20.55161642474
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,no,yes,17801,1769MB,100,188.332,9.522,78.676,22.231550027491014
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,no,yes,17801,256MB,100,187.139,39.939,83.764,20.61234739506
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,no,yes,17801,512MB,100,187.238,17.61,78.744,20.84236054512
Minimal,Minimal-Core31-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,no,yes,17801,5120MB,100,180.985,9.611,76.989,25.973382200099998
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,yes,no,14174,1024MB,100,161.427,9.165,78.394,21.367455170579998
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,yes,no,14174,128MB,100,161.989,88.677,110.391,20.531781325564996
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,yes,no,14174,1769MB,100,161.767,9.689,77.585,22.210275853412345
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,yes,no,14174,256MB,100,162.32,36.504,82.986,20.598300991494998
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,yes,no,14174,512MB,100,162.784,16.072,79.508,20.837199852650002
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,yes,no,14174,5120MB,100,156.08,10.065,77.275,26.0227357802
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,yes,yes,14174,1024MB,100,185.258,8.689,78.017,21.356093780440002
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,yes,yes,14174,128MB,100,185.923,85.289,117.811,20.5385008591625
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,yes,yes,14174,1769MB,100,186.85,8.298,79.568,22.223900446274552
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,yes,yes,14174,256MB,100,187.11,32.798,86.835,20.59877799388
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,yes,yes,14174,512MB,100,186.355,15.029,80.186,20.83476784049
Minimal,Minimal-Core31-Arm64-NoTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,yes,yes,14174,5120MB,100,178.349,8.708,77.118,25.921815275599997
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,no,no,17801,1024MB,100,154.092,7.15,89.951,21.494678473359997
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,yes,no,no,17801,128MB,100,153.991,61.848,465.348,21.07866505997
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,yes,no,no,17801,1769MB,100,154.331,7.107,89.384,22.422559218209276
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,yes,no,no,17801,256MB,100,154.412,24.626,146.361,20.76995884978
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,yes,no,no,17801,512MB,100,155.662,8.798,95.438,20.8949101412
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,yes,no,no,17801,5120MB,100,148.177,7.453,85.187,26.3759908798
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,yes,no,yes,17801,1024MB,100,178.971,6.043,88.754,21.46396365312
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,yes,no,yes,17801,128MB,100,179.165,48.814,468.569,21.062308978189996
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,yes,no,yes,17801,1769MB,100,180.452,5.93,89.989,22.40938839454299
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,yes,no,yes,17801,256MB,100,179.197,18.797,148.381,20.7572627863
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,yes,no,yes,17801,512MB,100,180.189,6.16,95.109,20.87512870896
Minimal,Minimal-Core31-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,yes,no,yes,17801,5120MB,100,171.467,6.204,84.275,26.231996826499994
Minimal,Minimal-Core31-Arm64-YesTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,yes,yes,no,14174,1024MB,100,155.345,7.196,91.209,21.51207189366
