Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
MinimalApi,MinimalApi-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,1900627,1024MB,AVERAGE,50,521.666,456.511,4.822,3.928,3.415,2.617,2.478,2.382,3.564,3.454,2.959,3.298,2.549,2.572,2.725,2.526,2.373,2.27,3.185,2.957,2.359,2.404,2.381,2.352,2.334,2.412,2.563,70.877
MinimalApi,MinimalApi-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,1900627,128MB,AVERAGE,50,514.551,4029.811,82.341,49.546,21.663,15.648,17.895,15.177,25.332,23.743,20.951,13.97,16.157,14.556,14.99,14.28,15.179,13.845,13.318,13.383,15.46,18.812,13.369,13.974,14.804,13.58,15.879,507.854
MinimalApi,MinimalApi-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,1900627,1769MB,AVERAGE,50,512.874,262.592,4.832,3.925,3.024,2.58,2.455,2.663,2.966,3.332,2.852,2.961,2.791,2.458,2.49,2.321,2.533,2.437,2.247,2.336,2.289,2.57,2.332,2.4,2.353,2.295,2.336,67.776
MinimalApi,MinimalApi-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,1900627,256MB,AVERAGE,50,517.984,1998.9,37.925,9.416,5.84,4.996,3.761,4.744,5.711,6.838,5.47,8.299,7.219,7.214,4.245,6.335,4.531,3.727,3.331,3.891,4.512,3.925,4.726,4.28,3.203,5.048,3.866,163.054
MinimalApi,MinimalApi-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,1900627,512MB,AVERAGE,50,519.574,954.164,9.715,5.189,3.32,2.744,2.429,2.326,4.814,4.351,4.23,2.503,2.862,3.437,2.648,2.629,2.541,3.63,2.621,2.358,2.323,2.431,2.875,2.762,2.431,2.362,2.333,81.864
MinimalApi,MinimalApi-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,3087106,1024MB,AVERAGE,50,493.785,349.91,4.741,4.202,3.216,2.676,2.503,2.463,4.425,3.562,2.591,3.1,2.86,2.748,3.3,2.465,2.648,2.447,2.488,2.331,2.427,2.349,2.787,2.339,2.428,2.529,2.481,72.104
MinimalApi,MinimalApi-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,3087106,128MB,AVERAGE,50,487.867,3066.372,103.847,49.003,19.113,16.113,16.613,14.395,35.519,15.576,16.793,19.41,14.619,14.444,14.463,16.611,13.245,15.519,19.555,11.889,15.292,14.273,16.615,15.014,13.878,16.405,13.423,531.626
MinimalApi,MinimalApi-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,3087106,1769MB,AVERAGE,50,489.325,202.727,5.432,3.976,3.228,2.537,2.509,2.862,3.692,3.033,2.913,2.947,2.665,3.009,2.371,2.501,2.542,2.66,2.442,2.304,2.501,2.366,2.404,2.456,2.404,2.481,2.309,70.544
MinimalApi,MinimalApi-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,3087106,256MB,AVERAGE,50,487.376,1518.871,33.397,15.722,6.539,5.108,3.991,3.786,9.88,4.875,9.11,4.381,3.675,4.058,5.757,3.721,3.143,3.516,4.756,3.707,4.08,3.775,6.187,4.375,5.046,4.439,5.027,162.052
MinimalApi,MinimalApi-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,3087106,512MB,AVERAGE,50,489.82,726.838,10.264,4.888,3.203,2.529,2.431,2.419,5.289,5.563,6.03,3.502,2.774,2.548,2.424,2.747,2.535,2.675,2.667,2.478,3.362,2.613,2.495,2.448,2.577,2.638,2.353,85.452
