Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,119872,1024MB,AVERAGE,20,265.839,206.724,2.943,1.521,1.445,1.422,1.249,1.28,1.217,1.277,1.797,1.613,1.333,1.319,1.11,1.337,1.206,1.149,1.135,1.177,1.529,1.114,1.145,1.208,1.133,1.168,1.353,34.175
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,119872,128MB,AVERAGE,20,263.613,1804.363,69.518,22.581,4.403,3.896,3.524,4.511,2.547,2.902,2.399,2.931,1.911,2.961,2.642,1.416,1.555,7.7,2.731,2.473,2.007,1.633,3.117,5.504,1.861,5.749,2.188,164.656
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,119872,1769MB,AVERAGE,20,268.672,119.055,2.458,1.778,1.704,1.39,1.435,1.325,1.356,1.348,1.234,1.211,1.383,1.291,1.416,1.257,1.151,1.183,1.301,1.166,1.598,1.397,1.178,1.146,1.21,1.636,1.215,34.761
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,119872,256MB,AVERAGE,20,264.942,907.033,17.478,2.825,1.513,1.399,1.388,1.204,1.276,1.409,1.259,1.226,1.187,1.194,1.141,1.403,1.172,1.143,1.105,1.131,1.101,1.51,1.372,1.261,1.4,1.384,1.463,49.937
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,119872,512MB,AVERAGE,20,264.002,429.773,2.523,2.104,1.644,1.422,1.218,1.183,1.228,1.232,1.376,1.191,1.137,1.11,1.13,2.18,1.43,1.133,2.021,1.499,1.177,1.141,1.365,1.429,1.923,1.187,1.239,36.215
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,203415,1024MB,AVERAGE,20,232.429,167.875,1.878,1.657,1.508,1.343,1.301,1.221,1.297,1.202,1.192,1.33,1.181,1.199,1.162,1.148,1.201,1.376,1.137,1.144,1.318,1.173,1.383,1.143,1.111,1.145,1.356,32.097
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,203415,128MB,AVERAGE,20,233.313,1548.782,46.354,9.523,14.748,11.633,10.507,3.967,3.639,1.737,1.702,2.327,6.241,1.736,1.619,1.658,2.629,2.016,2.997,2.392,1.684,2.565,1.506,1.665,1.877,2.461,3.466,142.644
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,203415,1769MB,AVERAGE,20,232.551,95.939,2.608,1.785,1.465,1.416,1.308,1.236,1.264,1.239,1.267,1.285,1.789,1.201,1.149,1.19,1.208,1.238,1.227,1.164,1.145,1.46,1.19,1.166,1.186,1.259,1.183,33.624
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,203415,256MB,AVERAGE,20,237.665,766.788,20.65,7.581,2.574,1.669,1.356,1.735,1.347,1.602,1.177,1.158,1.358,1.313,1.528,1.18,3.374,1.204,1.55,1.194,1.179,1.173,1.252,1.411,1.409,1.435,1.948,63.352
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,203415,512MB,AVERAGE,20,234.4,362.441,4.139,2.096,1.628,1.485,1.318,1.715,1.228,1.354,1.149,1.145,1.295,1.144,1.206,1.167,1.119,1.156,1.245,1.128,1.181,1.186,1.176,1.099,2.213,1.29,1.17,36.027
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-1024,dotnet6,arm64,yes,no,119873,1024MB,AVERAGE,20,222.806,143.08,2.753,1.694,2.05,1.54,1.517,1.755,1.31,1.242,1.571,1.347,1.282,2.016,2.023,1.955,1.827,1.597,1.419,1.811,1.378,1.456,1.432,1.273,1.338,1.21,1.477,40.268
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-128,dotnet6,arm64,yes,no,119873,128MB,AVERAGE,20,221.999,1363.129,62.763,13.036,20.667,12.304,14.875,9.894,7.609,8.316,25.016,5.169,3.12,3.752,8,2.864,6.951,7.081,17.166,11.909,29.893,19.41,21.016,16.856,43.149,31.13,18.142,420.084
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-1769,dotnet6,arm64,yes,no,119873,1769MB,AVERAGE,20,223.838,85.282,3.418,2.303,1.73,1.471,1.385,1.365,1.73,1.256,1.295,1.331,1.565,1.612,1.519,1.282,1.965,2.116,1.897,2.111,2.326,1.512,1.517,1.982,2.004,1.305,1.526,43.518
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-256,dotnet6,arm64,yes,no,119873,256MB,AVERAGE,20,221.814,672.558,16.988,6.069,2.628,1.684,2.148,1.585,2.326,14.969,4.18,3.856,6.632,7.563,4.731,4.549,3.47,2.914,2.126,3.266,2.815,5.557,5.506,6.841,7.807,17.264,8.342,145.81
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-512,dotnet6,arm64,yes,no,119873,512MB,AVERAGE,20,221.966,315.96,3.823,3.28,1.668,1.626,1.342,1.431,1.358,3.724,2.083,1.84,1.305,1.25,1.196,1.22,1.341,1.937,1.351,1.272,2.333,2.352,2.547,1.865,1.952,4.327,2.788,51.206
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-1024,dotnet6,arm64,yes,yes,203416,1024MB,AVERAGE,20,203.185,120.225,2.637,2.123,1.835,1.759,1.453,1.471,1.273,1.26,1.855,2.036,1.806,1.48,1.533,1.66,2.822,1.609,2.625,1.877,2.058,1.422,1.891,1.92,1.545,1.596,1.318,44.857
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-128,dotnet6,arm64,yes,yes,203416,128MB,AVERAGE,20,202.5,1148.666,45.827,14.043,4.552,5.21,9.747,15.773,12.053,10.569,5.117,4.791,11.535,9.258,12.061,10.229,17.638,22.483,23.847,24.017,23.236,35.937,30.779,17.874,20.757,20.226,17.272,424.825
