Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,119874,1024MB,AVERAGE,100,263.108,203.557,2.258,1.598,1.508,1.476,1.307,1.234,1.185,1.348,1.233,1.314,1.375,1.186,1.152,1.219,1.195,1.151,1.191,1.227,1.249,1.246,1.345,1.188,1.221,1.134,1.14,32.678
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,119874,128MB,AVERAGE,100,264.606,1801.335,69.489,23.741,10.194,5.842,4.219,4.818,5.911,4.001,2.941,2.709,2.422,2.284,2.442,4.232,2.872,3.461,3.031,2.664,2.364,2.147,2.487,2.784,2.779,2.688,3.047,175.566
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,119874,1769MB,AVERAGE,100,263.48,119.364,2.543,1.617,1.493,1.5,1.378,1.248,1.257,1.287,1.285,1.316,1.395,1.303,1.19,1.185,1.202,1.247,1.142,1.219,1.214,1.202,1.199,1.202,1.194,1.379,1.235,33.429
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,119874,256MB,AVERAGE,100,263.446,898.484,23.114,3.692,2.242,1.449,1.57,1.366,1.293,1.289,2.098,1.417,1.219,1.185,1.139,2.137,1.175,1.248,1.239,1.142,1.626,1.378,1.841,1.521,1.494,1.514,1.264,60.651
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,119874,512MB,AVERAGE,100,263.683,427.642,3.394,1.972,1.506,1.54,1.322,1.237,1.249,3.766,5.487,1.342,1.221,1.224,1.136,1.226,1.259,1.215,1.147,1.204,1.236,1.218,1.208,1.187,1.176,1.207,1.142,40.82
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,203410,1024MB,AVERAGE,100,235.28,169.447,2.773,1.786,1.542,1.472,1.367,1.281,1.251,1.281,1.373,1.412,1.275,1.203,1.215,1.247,1.353,1.171,1.193,1.269,1.292,1.219,1.262,1.221,1.206,1.193,1.152,34.007
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,203410,128MB,AVERAGE,100,234.338,1529.781,56.212,11.409,11.303,11.46,10.009,4.522,3.3,3.344,4.463,2.815,3.151,2.591,3.323,3.441,2.124,3.011,2.017,2.273,3.787,2.018,2.275,2.642,3.983,2.383,2.565,160.42
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,203410,1769MB,AVERAGE,100,232.985,98.366,3.278,1.7,1.573,1.508,1.537,1.293,1.245,1.208,1.27,1.56,1.238,1.208,1.204,1.285,1.245,1.216,1.167,1.303,1.202,1.191,1.383,1.144,1.21,1.141,1.202,34.508
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,203410,256MB,AVERAGE,100,233.005,752.156,25.017,4.682,3.065,1.551,2.005,1.385,1.489,1.329,1.453,1.453,1.437,1.272,1.421,1.184,1.248,1.166,1.286,1.24,1.439,1.254,1.298,1.747,1.784,1.674,1.471,64.348
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,203410,512MB,AVERAGE,100,232.994,357.168,4.749,2.341,1.616,1.632,1.409,1.273,1.233,1.232,1.424,1.32,1.527,1.465,1.352,1.197,1.278,1.436,1.2,3.555,1.174,4.885,1.247,1.157,1.285,1.157,1.291,43.433
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-1024,dotnet6,arm64,yes,no,119875,1024MB,AVERAGE,100,223.779,144.298,3.077,1.98,1.941,1.731,1.602,1.465,1.355,1.38,1.428,1.626,1.527,1.862,1.469,1.717,1.943,1.644,1.838,1.716,1.713,1.862,1.598,1.416,1.419,1.54,1.375,42.223
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-128,dotnet6,arm64,yes,no,119875,128MB,AVERAGE,100,222.276,1373.221,63.174,19.722,11.32,9.673,13.357,13.477,12.371,10.239,7.337,5.954,6.381,4.485,4.976,10.713,12.406,14.195,21.814,23.769,15.988,19.211,23.005,18.596,23.541,27.365,24.709,417.776
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-1769,dotnet6,arm64,yes,no,119875,1769MB,AVERAGE,100,221.503,86.353,3.637,1.978,1.884,1.701,1.492,1.585,1.322,1.334,1.705,1.808,1.715,1.537,1.493,1.668,1.704,1.688,1.957,1.807,1.916,2.007,1.495,1.53,1.673,1.59,1.432,43.655
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-256,dotnet6,arm64,yes,no,119875,256MB,AVERAGE,100,222.991,666.095,17.217,5.846,1.993,1.839,2.263,1.994,1.84,2.145,1.992,2.706,2.432,2.37,3.11,3.416,3.11,2.96,3.807,4.846,4.754,4.787,5.811,6.17,7.38,7.668,7.981,110.434
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-NoR2R-512,dotnet6,arm64,yes,no,119875,512MB,AVERAGE,100,222.499,317.578,3.8,2.417,2.212,1.739,1.715,1.388,1.623,1.707,1.723,1.342,1.638,1.486,1.429,1.631,2.001,2.107,1.375,1.398,2.408,1.686,2.116,3.162,2.452,2.41,2.243,49.207
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-1024,dotnet6,arm64,yes,yes,203411,1024MB,AVERAGE,100,201.198,120.605,3.049,1.915,1.812,1.766,1.433,1.539,2.483,1.544,1.744,1.814,2.014,1.62,1.623,1.712,2.003,1.834,1.724,1.755,1.981,1.87,1.442,1.666,1.371,1.292,2.807,45.81
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-128,dotnet6,arm64,yes,yes,203411,128MB,AVERAGE,100,202.044,1146.686,50.301,16.869,9.19,7.534,10.208,20.227,17.65,7.354,7.625,5.355,4.881,7.376,5.331,6.719,9.742,10.719,22.252,22.684,27.918,23.194,24.435,24.877,24.566,26.712,21.316,415.033
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-1769,dotnet6,arm64,yes,yes,203411,1769MB,AVERAGE,100,201.584,73.603,3.276,1.925,1.7,1.664,1.565,1.304,1.344,1.478,1.365,1.51,1.482,1.914,2.272,1.948,1.742,1.867,1.679,2.104,1.898,1.905,1.946,2.004,1.921,1.686,1.514,45.014
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-256,dotnet6,arm64,yes,yes,203411,256MB,AVERAGE,100,201.844,571.236,15.571,4.919,2.721,1.632,2.329,2.348,3.241,2.459,1.61,2.273,2.424,2.743,2.946,2.784,2.737,5.965,3.975,6.301,4.996,6.718,7.088,5.904,5.487,6.66,7.11,112.941
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-YesTC-YesR2R-512,dotnet6,arm64,yes,yes,203411,512MB,AVERAGE,100,202.843,267.96,6.056,2.271,2.362,2.022,1.688,1.775,1.367,1.501,1.6,1.488,1.435,1.33,1.415,1.531,1.42,1.636,2.002,1.76,2.108,2.161,2.007,2.238,2.446,2.287,2.373,50.277
MinimalTopLevel,MinimalTopLevel-Net6-x64-NoTC-NoR2R-1024,dotnet6,x86_64,no,no,143465,1024MB,AVERAGE,100,276.793,173.173,2.847,1.964,1.524,1.483,1.383,1.781,1.663,2.026,1.953,1.674,1.427,1.846,1.34,1.364,1.275,1.317,1.381,1.186,1.485,1.92,1.474,1.64,1.342,1.675,1.425,40.391
MinimalTopLevel,MinimalTopLevel-Net6-x64-NoTC-NoR2R-128,dotnet6,x86_64,no,no,143465,128MB,AVERAGE,100,269.957,1506.639,38.893,14.999,8.089,5.903,5.098,2.898,4.86,2.915,4.074,3.847,2.177,4.099,3.333,2.358,2.272,4.316,2.951,2.821,5.365,2.964,3.061,3.286,3.161,2.985,2.455,139.178
MinimalTopLevel,MinimalTopLevel-Net6-x64-NoTC-NoR2R-1769,dotnet6,x86_64,no,no,143465,1769MB,AVERAGE,100,271.99,101.736,3.191,1.639,1.783,1.484,1.718,1.548,1.78,1.674,1.43,1.922,1.506,1.659,1.299,1.24,1.425,1.595,1.345,1.462,1.724,1.596,1.859,1.406,1.592,1.435,1.437,40.747
