Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,no,no,no,120379,1024MB,100,266.521,204.938,122.011,24.55933779658
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,no,no,no,120379,128MB,100,265.496,1812.076,416.455,23.914236904424996
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,no,no,no,120379,1769MB,100,264.951,119.505,126.657,25.870078746085312
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,no,no,no,120379,256MB,100,266.457,905.067,162.149,23.757402786925002
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,no,no,no,120379,512MB,100,266.669,435.34,127.093,23.94957541445
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,no,no,no,120379,5120MB,100,233.478,112.749,121.401,35.8100380498
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,no,no,yes,120379,1024MB,100,286.167,203.324,125.751,24.58769260502
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,no,no,yes,120379,128MB,100,285.667,1819.572,436.535,23.960197634227498
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnet6,arm64,no,no,yes,120379,1769MB,100,284.862,118.081,121.655,25.722067065926442
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnet6,arm64,no,no,yes,120379,256MB,100,284.951,894.189,174.226,23.761402140255
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnet6,arm64,no,no,yes,120379,512MB,100,286.478,427.889,126.346,23.894916474489996
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnet6,arm64,no,no,yes,120379,5120MB,100,250.282,110.601,120.282,35.5922702943
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnet6,arm64,no,yes,no,204899,1024MB,100,234.381,168.534,122.581,24.08155407434
MinimalTopLevel,MinimalTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnet6,arm64,no,yes,no,204899,128MB,100,233.807,1517.335,393.421,23.384609589635
