Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,239344,1024MB,AVERAGE,20,185.557,579.911,2.427,1.997,1.735,1.765,1.86,1.844,1.636,2.4,2.459,1.767,2.427,2.173,2.369,2.264,1.589,1.725,2.151,1.939,1.904,1.635,1.634,1.676,1.699,2.033,1.857,48.958
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,239344,128MB,AVERAGE,20,182.634,5085.041,6.412,3.892,2.971,2.641,2.241,1.805,2.737,6.043,5.678,6.611,6.087,4.899,7.579,13.274,4.804,5.078,4.282,5.057,4.333,4.727,5.117,3.216,3.364,5.944,5.678,124.465
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,239344,1769MB,AVERAGE,20,184.965,331.715,2.454,1.82,1.686,1.881,1.76,1.666,1.622,1.656,2.243,2.079,1.976,2.145,2.261,2.31,1.8,2.294,1.64,2.217,1.909,2.001,1.776,2.427,1.646,1.741,1.662,48.664
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,239344,256MB,AVERAGE,20,180.706,2523.252,3.615,1.646,1.664,1.706,1.508,1.536,1.788,1.679,3.737,2.083,2.609,2.164,2.728,2.682,3.657,1.949,2.3,1.722,1.606,2.085,1.912,1.622,1.642,1.519,1.569,52.723
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,239344,512MB,AVERAGE,20,184.654,1203.908,2.423,1.978,1.813,1.729,1.734,1.631,1.658,1.904,1.909,1.826,2.478,1.674,1.679,2.249,2.83,2.453,1.994,1.574,1.628,1.912,1.821,1.804,1.639,1.894,1.587,47.813
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,673624,1024MB,AVERAGE,20,188.797,353.178,3.234,2.082,2.272,1.815,1.769,1.742,1.657,1.686,2.655,2.261,2.148,2.334,2.245,2.243,2.067,1.938,2.066,1.931,2.04,2.446,1.681,1.961,1.702,1.706,1.903,51.58
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,673624,128MB,AVERAGE,20,183.571,3184.746,6.597,4.728,1.859,1.899,2.177,1.81,2.647,4.497,9.574,5.884,4.036,14.369,7.138,3.709,4.161,3.141,2.737,2.367,3.411,4.768,3.313,5.558,3.465,2.797,3.086,109.72
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,673624,1769MB,AVERAGE,20,187.065,203.388,2.771,2.06,1.856,2.353,1.78,1.863,1.761,1.755,2.577,2.02,2.313,2.991,2.036,2.225,1.791,2.191,2.05,2.418,3.101,1.698,2.126,2.087,2.001,2.481,2.194,54.492
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,673624,256MB,AVERAGE,20,183.784,1551.056,3.422,1.798,1.994,1.821,1.672,1.785,3.974,3.847,2.508,4.767,3.06,4.431,3.287,1.833,1.752,1.759,3.078,2.269,1.706,1.999,2.533,1.735,2.573,3.756,2.098,65.451
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,673624,512MB,AVERAGE,20,185.118,732.682,3.323,2.041,1.91,2.001,1.734,1.612,1.929,1.631,2.163,2.201,2.044,1.927,2.567,2.232,1.989,1.666,2.574,2.052,1.906,2.923,1.594,1.722,1.943,1.7,2.543,51.92
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,239344,1024MB,AVERAGE,20,175.124,536.744,2.976,2.457,2.297,2.206,2.062,1.964,2.171,2.296,4.005,6.072,4.835,5.3,3.792,4.454,3.141,5.172,3.429,3.433,4.034,3.884,2.764,2.81,3.266,1.892,2.368,83.075
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,239344,128MB,AVERAGE,20,173.883,6054.286,16.182,8.29,5.899,10.146,9.929,30.495,21.827,25.721,50.696,55.957,65.432,68.015,62.089,74.406,47.409,50.447,53.42,38.458,63.508,39.363,74.036,57.06,52.569,46.434,58.106,1085.889
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,239344,1769MB,AVERAGE,20,173.118,308.005,2.854,2.025,2.407,2.144,1.888,1.826,1.975,2.916,4.812,3.357,4.632,4.833,3.866,2.948,5.063,2.935,3.383,3.389,4.008,4.691,2.276,2.412,2.069,3.042,2.994,78.737
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,239344,256MB,AVERAGE,20,172.559,2731.553,4.501,2.348,1.863,1.792,1.747,2.197,1.827,3.86,8.221,18.746,22.955,25.562,28.567,22.131,21.646,17.915,20.581,22.212,21.515,19.971,20.767,16.128,17.849,19.006,11.098,355.001
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,239344,512MB,AVERAGE,20,172.838,1206.82,3.403,2.083,2.017,1.991,1.923,2.001,2.692,4.522,5.125,5.418,9.179,11.719,10.956,5.023,9.466,5.126,4.925,6.506,7.871,4.496,5.655,4.501,6.171,5.411,3.587,131.761
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,673624,1024MB,AVERAGE,20,177.482,368.847,2.985,1.863,2.171,2.41,2.226,2.805,2.086,3.313,2.588,3.427,4.775,3.743,5.337,4.547,3.613,5.213,4.065,3.482,3.906,2.242,5.516,2.799,2.82,3.002,3.145,84.074
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-128,dotnetcore3.1,arm64,yes,yes,673624,128MB,AVERAGE,20,175.637,4446.547,16.774,7.559,4.62,5.794,8.063,12.097,15.393,27.478,50.767,67.008,79.584,39.65,53.311,73.312,59.378,51.313,42.154,47.183,37.383,62.826,40.351,51.827,57.26,50.504,54.637,1016.22
