Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,239346,1024MB,AVERAGE,100,183.182,574.155,2.301,1.89,1.957,1.774,1.65,1.691,1.695,1.845,2.617,2.111,2.05,1.976,2.196,2.253,1.911,2.138,2.111,2.08,2.098,1.881,1.948,1.943,1.895,1.948,1.838,49.796
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,239346,128MB,AVERAGE,100,182.658,5122.625,7.659,3.28,2.878,2.556,2.252,2.362,4.846,7.071,4.129,8.77,6.092,4.362,4.417,4.917,4.766,3.927,3.629,3.661,4.343,3.761,3.606,4.997,3.552,5.248,4.656,111.733
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,239346,1769MB,AVERAGE,100,183.204,332.228,2.505,1.927,1.787,1.871,1.742,1.744,1.769,1.905,2.307,2.117,2.238,2.04,2.052,1.873,2.039,1.96,1.843,1.998,2.186,1.851,2.086,2.05,1.901,1.883,2.085,49.758
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,239346,256MB,AVERAGE,100,183.48,2522.551,3.883,1.999,1.672,1.606,1.659,1.577,1.545,1.808,2.616,2.556,2.481,2.501,2.279,2.182,1.885,1.816,2.208,2.001,1.943,1.963,2.02,1.753,1.939,1.54,1.754,51.184
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,239346,512MB,AVERAGE,100,183.348,1202.017,2.259,1.863,1.857,1.83,1.743,1.671,1.652,1.901,2.58,2.051,2.158,1.914,2.175,2.056,1.808,1.72,1.852,2.053,1.894,1.883,1.848,1.758,1.862,1.755,1.832,47.973
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,673624,1024MB,AVERAGE,100,185.594,351.471,2.623,2.016,1.888,1.875,1.782,1.788,1.87,2.145,2.394,2.212,2.265,1.965,2.166,2.242,2.139,2.02,2.119,2.322,1.937,2.252,2.113,1.989,2.168,1.873,1.879,52.04
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,673624,128MB,AVERAGE,100,184.801,3217.301,11.697,5.036,3.43,2.772,2.378,2.379,2.829,6.832,5.998,4.872,4.755,4.407,3.597,4.871,4.969,4.303,4.644,3.691,4.653,3.924,4.237,3.715,4.214,5.654,6.959,116.814
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,673624,1769MB,AVERAGE,100,185.757,205.551,2.894,2.014,1.884,1.977,1.858,1.897,1.767,1.941,2.145,2.438,2.102,2.143,2.139,2.18,2.205,2.493,2.099,2.126,2.263,2.075,1.961,2.003,1.93,1.914,2.077,52.523
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,673624,256MB,AVERAGE,100,185.799,1564.129,7.402,2.241,2.196,2.134,1.873,1.999,2.509,3.076,3.235,2.798,2.572,2.75,2.734,2.41,2.701,2.483,1.984,2.681,2.23,2.222,2.059,1.802,2.359,2.58,2.889,65.918
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,673624,512MB,AVERAGE,100,186.249,741.872,2.365,1.908,1.95,1.942,1.75,1.75,1.841,2.078,2.212,2.183,2.196,2.111,2.192,2.101,1.993,1.88,1.842,2.302,2.465,2.126,2.127,1.755,2.011,1.951,1.857,50.885
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,239346,1024MB,AVERAGE,100,171.678,530.517,2.875,2.16,2.055,2.269,2.015,1.958,2.124,2.626,3.702,4.015,4.532,4.348,4.579,4.374,4.35,4.017,3.512,3.427,3.324,3.869,3.515,3.191,2.552,2.72,2.427,80.534
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,239346,128MB,AVERAGE,100,172.579,5969.778,14.825,9.409,8.443,11.169,14.644,14.648,26.839,26.97,55.247,62.475,66.853,54.919,55.07,55.732,62.904,61.209,49.493,54.894,57.994,57.576,57.984,50.626,50.446,47.536,51.922,1079.826
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,239346,1769MB,AVERAGE,100,172.606,308.986,2.868,2.314,2.09,2.303,2.123,1.95,2.112,2.265,3.08,4.016,4.753,5.523,5.006,3.759,3.808,4.04,3.424,3.264,3.429,2.965,3.174,3.37,2.948,2.809,2.669,80.061
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,239346,256MB,AVERAGE,100,171.939,2713.185,5.413,2.399,2.231,2.421,1.998,3.332,3.033,8.596,14.563,19.457,22.088,18.672,23.347,21.368,20.566,19.337,17.879,18.79,17.936,18.863,16.896,17.069,15.272,16.325,16.928,344.776
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,239346,512MB,AVERAGE,100,174.505,1195.806,3.234,2.236,2.145,1.98,2.573,2.135,2.156,2.91,5.483,7.658,9.126,7.536,7.813,6.551,5.6,6.432,5.394,5.851,5.654,5.432,4.614,4.618,5.743,4.475,5.398,122.747
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,673624,1024MB,AVERAGE,100,177.566,372.03,2.86,2.793,2.474,2.497,2.26,2.217,2.849,2.83,2.911,2.792,3.791,4.809,4.221,4.181,3.657,3.482,3.544,3.84,3.024,3.116,3.427,3.788,3.403,3.616,3.68,82.06
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-128,dotnetcore3.1,arm64,yes,yes,673624,128MB,AVERAGE,100,175.988,4425.716,14.437,8.828,7.855,3.541,4.503,12.854,21.439,28.824,42.363,60.207,65.976,45.729,46.877,49.586,50.547,46.823,45.145,53.099,48.091,43.913,51.672,46.116,45.948,48.829,48.405,941.605
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-1769,dotnetcore3.1,arm64,yes,yes,673624,1769MB,AVERAGE,100,176.08,213.158,3.251,2.286,2.108,2.056,1.926,2.013,1.959,2.315,3.285,5.285,4.96,4.167,3.899,4.387,3.948,3.201,3.822,3.732,3.452,4.474,3.315,3.494,3.995,2.806,3.165,83.3
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-256,dotnetcore3.1,arm64,yes,yes,673624,256MB,AVERAGE,100,175.443,1923.17,6.103,3.052,2.922,2.073,2.705,2.421,6.633,6.453,11.353,20.821,16.562,19.985,17.077,25.797,24.391,19.332,18.073,15.971,18.516,16.933,16.563,16.015,16.728,15.861,13.353,335.694
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-512,dotnetcore3.1,arm64,yes,yes,673624,512MB,AVERAGE,100,176.314,820.453,3.161,2.45,2.194,2.555,2.52,2.505,3.228,3.96,4.964,4.845,6.324,8.719,5.858,6.52,6.317,5.725,5.601,5.698,3.97,4.174,5.249,4.765,5.383,5.508,4.593,116.787
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-1024,dotnetcore3.1,x86_64,no,no,239335,1024MB,AVERAGE,100,197.952,469.292,2.258,1.848,2.209,1.695,2.348,2.006,2.072,1.872,2.471,2.259,2.684,2.466,2.286,2.84,2.194,2.734,2.393,2.176,2.19,2.391,2.738,2.263,2.37,1.965,1.982,56.709
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-128,dotnetcore3.1,x86_64,no,no,239335,128MB,AVERAGE,100,193.763,4136.426,6.475,3.428,2.804,2.455,2.638,3.783,5.289,3.208,8.691,5.907,7.839,5.535,7.204,6.3,3.741,4.339,4.189,3.705,3.922,4.308,3.476,6.687,5.384,5.447,4.194,120.946
