Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Used-26,Used-27,Used-28,Used-29,Used-30,Used-31,Used-32,Used-33,Used-34,Used-35,Used-36,Used-37,Used-38,Used-39,Used-40,Used-41,Used-42,Used-43,Used-44,Used-45,Used-46,Used-47,Used-48,Used-49,Used-50,Used-51,Used-52,Used-53,Used-54,Used-55,Used-56,Used-57,Used-58,Used-59,Used-60,Used-61,Used-62,Used-63,Used-64,Used-65,Used-66,Used-67,Used-68,Used-69,Used-70,Used-71,Used-72,Used-73,Used-74,Used-75,Used-76,Used-77,Used-78,Used-79,Used-80,Used-81,Used-82,Used-83,Used-84,Used-85,Used-86,Used-87,Used-88,Used-89,Used-90,Used-91,Used-92,Used-93,Used-94,Used-95,Used-96,Used-97,Used-98,Used-99
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnetcore3.1,arm64,no,no,no,239348,1024MB,100,184.753,587.56,173.18,2.595,2.09,2.412,1.94,1.981,1.833,1.879,1.814,1.836,1.822,1.927,1.792,1.728,1.795,1.918,1.799,1.711,1.721,1.784,1.843,1.737,1.778,1.816,1.745,1.659,1.846,1.757,1.907,1.831,1.762,1.71,1.746,1.844,1.731,1.712,1.657,1.633,1.693,1.682,1.736,1.827,1.771,1.719,1.662,1.712,1.617,1.63,1.73,1.67,1.786,1.649,1.648,1.896,1.675,1.822,1.816,1.891,1.952,1.73,1.761,1.958,1.827,1.737,1.979,1.923,1.857,1.747,1.75,1.737,1.703,1.586,1.773,1.681,1.552,1.556,1.603,1.654,1.608,1.68,1.58,1.652,1.546,1.692,1.611,1.507,1.608,1.552,1.649,1.595,1.633,1.654,1.606,1.593,1.639,1.637,1.562,1.572,1.588,1.635
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnetcore3.1,arm64,no,no,no,239348,128MB,197,182.92,5155.494,375.039,6.26,3.645,5.157,3.457,3.998,4.358,4.376,4.745,4.649,4.513,4.536,4.508,3.712,3.908,3.206,3.604,3.542,3.646,3.759,3.564,3.603,4.018,3.373,4.288,4.226,3.887,4.606,3.643,3.401,3.199,3.492,3.71,3.705,3.64,3.323,3.699,4.001,3.351,3.79,3.398,3.681,3.491,2.995,3.376,3.199,3.35,3.589,3.911,3.819,3.609,3.617,3.52,3.544,4.466,3.661,3.721,3.47,3.411,3.691,3.668,3.27,3.374,3.368,3.373,3.543,3.797,3.957,4.162,3.665,4.055,3.706,3.788,3.421,3.601,3.475,3.621,3.695,3.727,3.768,3.589,3.6,3.832,4.234,3.579,3.456,3.916,3.848,3.898,3.91,3.766,3.85,3.357,4.319,3.905,3.811,3.962,4.024,3.478,4.054
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnetcore3.1,arm64,no,no,no,239348,1769MB,100,181.766,331.417,172.269,2.509,1.981,2.377,2.025,1.988,2.041,1.822,1.738,2.098,1.888,1.705,1.756,1.942,1.749,1.905,1.722,1.623,1.811,1.671,1.97,1.702,1.747,1.731,1.781,1.851,1.792,1.891,1.649,1.854,1.815,1.683,1.903,1.704,1.826,1.703,1.801,1.64,1.65,1.642,1.732,1.588,1.637,1.662,1.779,1.662,1.688,1.616,1.714,1.648,1.611,1.701,1.672,1.735,1.854,1.636,1.829,1.802,1.76,1.77,1.854,1.885,1.812,1.753,1.901,1.777,1.823,1.985,1.801,1.71,1.678,1.711,1.644,1.622,1.684,1.536,1.638,1.643,1.584,1.615,1.587,1.563,1.563,1.592,1.592,1.514,1.568,1.662,1.571,1.511,1.588,1.561,1.611,1.561,1.613,1.639,1.545,1.758,1.688,1.549
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnetcore3.1,arm64,no,no,no,239348,256MB,100,183.515,2549.936,184.819,4.598,2.089,2.163,2.203,2.224,1.982,2.138,2.174,3.136,1.841,1.957,1.808,2.336,2.079,1.88,1.761,1.751,1.906,1.762,1.787,1.869,1.65,1.827,1.755,1.897,1.753,1.929,1.698,2.217,1.892,2.018,1.792,1.761,2.009,1.702,1.621,1.743,1.654,1.798,1.834,1.664,1.814,1.767,1.808,1.717,1.857,1.832,1.695,1.754,1.72,1.581,1.582,1.611,1.816,1.62,1.96,1.801,1.778,1.91,1.639,1.744,1.773,1.663,1.737,1.896,1.708,1.644,1.662,1.769,1.752,1.712,1.845,2.185,1.77,1.697,1.737,1.806,1.745,1.905,1.903,1.753,1.769,1.867,1.768,1.664,1.76,1.759,1.742,1.889,1.66,1.856,1.998,1.911,1.763,1.65,1.691,2.049,1.742,1.963
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnetcore3.1,arm64,no,no,no,239348,512MB,100,182.582,1215.685,169.432,2.045,1.816,2.587,2.031,1.891,1.743,1.763,1.786,2.119,1.719,1.887,1.763,1.722,1.769,1.724,1.822,1.724,1.721,1.672,1.683,1.671,1.662,1.714,1.875,1.684,2.098,1.754,1.627,1.715,1.773,1.695,1.733,1.69,1.675,1.65,1.611,1.68,1.665,1.667,1.685,1.561,1.652,1.604,1.67,1.785,1.709,1.816,1.696,1.951,1.692,1.99,1.898,1.946,1.982,1.919,2.052,2.004,1.756,1.852,1.678,1.664,1.553,1.579,1.593,1.529,1.581,1.71,1.574,1.543,1.531,1.527,1.663,1.665,1.628,1.508,1.736,1.559,1.545,1.619,1.524,1.566,1.582,1.59,1.532,1.629,1.631,1.537,1.589,1.54,1.784,1.521,1.639,1.557,1.533,1.577,1.568,1.6,1.547,1.557
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnetcore3.1,arm64,no,no,no,239348,5120MB,100,176.245,327.448,171.321,2.123,1.918,2.524,2.037,1.749,1.783,1.73,1.71,1.816,1.914,1.734,1.607,1.67,1.724,1.762,1.889,1.666,1.805,1.651,1.658,1.752,1.65,1.676,1.751,1.683,1.701,1.662,1.684,1.708,1.693,1.727,1.678,1.726,1.692,1.769,1.696,1.676,1.756,1.755,1.683,1.72,1.671,1.738,1.642,1.662,1.77,1.665,1.697,1.679,1.656,1.689,1.657,1.71,1.776,1.661,1.632,1.699,1.712,1.707,1.726,1.765,1.868,1.721,1.819,1.713,1.726,1.963,1.999,1.955,1.846,1.852,2.023,1.805,1.749,1.86,1.751,1.654,1.642,1.687,1.653,1.615,1.647,1.596,1.674,1.585,1.601,1.676,1.587,1.579,1.601,1.668,1.604,1.735,1.585,1.589,1.6,1.627,1.659,1.593
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnetcore3.1,arm64,no,no,yes,239348,1024MB,100,183.459,580.825,169.78,2.159,2.013,2.175,1.827,2.005,1.837,1.804,2.081,1.792,1.938,1.818,1.78,1.692,1.661,1.744,1.731,1.866,1.793,1.731,1.707,1.659,1.863,1.842,1.784,1.898,1.728,1.759,1.696,1.745,1.747,1.785,1.638,1.838,1.776,1.694,1.646,1.725,1.628,1.635,1.692,1.716,1.573,1.639,1.622,1.622,1.631,1.732,1.604,1.634,1.626,1.631,1.733,1.7,1.742,1.844,1.7,1.824,1.91,1.94,1.874,1.827,1.749,1.758,2.001,1.915,1.712,1.637,1.64,1.603,1.552,1.554,1.664,1.685,1.574,1.624,1.545,1.56,1.576,1.552,1.581,1.719,1.638,1.536,1.664,1.651,1.58,1.565,1.588,1.556,1.554,1.554,1.672,1.594,1.555,1.553,1.559,1.526,1.617,1.561
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnetcore3.1,arm64,no,no,yes,239348,128MB,100,183.075,5153.929,343.303,6.628,2.911,3.874,4.007,2.884,3.498,3.903,5.552,3.777,4.93,4.699,3.912,3.037,4.778,3.517,3.045,2.724,3.438,2.891,3.225,3.01,3.514,3.47,3.738,3.139,3.662,3.226,3.115,3.723,3.268,3.674,3.134,3.03,3.745,3.599,3.463,3.692,3.561,3.062,2.843,3.018,2.938,3.877,3.228,2.581,3.601,2.94,3.142,2.905,3.46,3.152,3.279,3.1,3.645,2.825,3.018,2.917,3.81,3.708,3.349,3.334,3.395,3.104,3.77,2.986,3.57,3.095,3.337,3.283,3.669,3.645,3.139,3.288,3.279,3.526,3.167,3.579,3.743,3.294,3.375,3.405,3.243,3.616,3.7,3.325,3.356,3.162,3.831,3.23,3.15,3.471,3.543,3.508,2.975,3.613,3.536,3.391,4.407,3.873
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnetcore3.1,arm64,no,no,yes,239348,1769MB,100,183.34,335.67,175.297,2.604,2.234,2.513,2.033,2.076,1.86,2.15,1.869,1.831,1.78,1.989,1.755,2.022,1.836,1.833,1.803,1.929,1.724,1.894,1.705,1.937,1.678,1.804,1.723,1.971,1.796,1.791,1.803,1.727,1.725,1.873,1.742,1.804,1.846,1.747,1.782,1.703,1.782,1.674,1.716,1.824,1.74,1.599,1.641,1.604,1.67,1.745,1.766,1.585,1.661,1.629,1.613,1.932,1.694,1.605,1.718,1.727,2.116,1.857,1.804,1.821,2.049,1.854,1.947,1.988,1.972,2.06,1.938,1.729,1.679,1.716,1.576,1.578,1.558,1.668,1.61,1.614,1.616,1.634,1.582,1.567,1.723,1.617,1.607,1.639,1.57,1.522,1.553,1.639,1.566,1.613,1.557,1.607,1.572,1.614,1.575,1.616,1.556,1.812
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnetcore3.1,arm64,no,no,yes,239348,256MB,100,183.313,2552.52,185.558,4.422,1.949,2.637,2.084,2.396,1.876,2.15,2.042,2.893,2.179,1.671,1.684,1.813,2.038,1.933,1.684,1.785,1.808,2.106,1.909,1.86,1.878,1.898,1.779,1.803,1.888,1.692,1.872,2.044,2.063,1.833,1.952,2.8,1.79,1.718,1.799,1.986,1.824,1.909,2.154,1.82,1.929,1.97,1.774,1.773,1.738,1.527,1.727,1.607,1.865,1.762,1.806,1.799,1.656,1.699,1.753,1.834,1.958,1.75,1.777,1.669,1.661,1.766,1.796,1.646,1.968,1.757,1.731,1.883,1.663,1.763,1.769,1.706,1.795,1.849,1.777,1.722,1.653,1.791,1.639,1.687,1.653,1.655,1.777,1.754,1.721,1.943,1.652,1.753,1.873,1.743,1.73,1.635,1.762,1.866,1.91,1.964,1.756,1.605
