Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnetcore3.1,arm64,no,no,no,239343,1024MB,100,181.742,580.237,172.494,30.236459515379998
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnetcore3.1,arm64,no,no,no,239343,128MB,199,181.527,5122.73,337.859,29.301026074417084
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnetcore3.1,arm64,no,no,no,239343,1769MB,100,183.184,331.528,175.919,31.888523244407338
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnetcore3.1,arm64,no,no,no,239343,256MB,100,181.333,2506.7,190.128,29.18947228047
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnetcore3.1,arm64,no,no,no,239343,512MB,100,182.153,1207.501,171.415,29.392817963859997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnetcore3.1,arm64,no,no,no,239343,5120MB,100,175.035,324.765,172.297,53.3375990205
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnetcore3.1,arm64,no,no,yes,239343,1024MB,100,325.387,365.522,172.153,27.369027844959998
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnetcore3.1,arm64,no,no,yes,239343,128MB,100,325.116,3294.06,358.074,26.286920434449996
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnetcore3.1,arm64,no,no,yes,239343,1769MB,100,324.59,208.635,172.002,28.96758098612324
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnetcore3.1,arm64,no,no,yes,239343,256MB,100,324.073,1601.872,197.489,26.19790132269
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-512,dotnetcore3.1,arm64,no,no,yes,239343,512MB,100,326.334,766.874,170.474,26.449019911610005
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-5120,dotnetcore3.1,arm64,no,no,yes,239343,5120MB,100,312.721,205.306,170.601,45.2605519688
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-1024,dotnetcore3.1,arm64,no,yes,no,673625,1024MB,100,185.675,356.071,178.736,27.3307956538
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-128,dotnetcore3.1,arm64,no,yes,no,673625,128MB,100,182.811,3199.488,356.251,26.1262607978225
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-1769,dotnetcore3.1,arm64,no,yes,no,673625,1769MB,100,183.823,204.654,181.736,29.100086198125155
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-256,dotnetcore3.1,arm64,no,yes,no,673625,256MB,100,184.387,1557.237,210.521,26.092554129289997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-512,dotnetcore3.1,arm64,no,yes,no,673625,512MB,100,185.231,746.727,178.447,26.36785950581
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-5120,dotnetcore3.1,arm64,no,yes,no,673625,5120MB,100,177.948,202.108,176.192,45.4201327667
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-1024,dotnetcore3.1,arm64,no,yes,yes,673625,1024MB,100,256.766,268.894,178.65,26.16728183626
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-128,dotnetcore3.1,arm64,no,yes,yes,673625,128MB,100,256.708,2463.763,374.527,24.930508152422497
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-1769,dotnetcore3.1,arm64,no,yes,yes,673625,1769MB,100,255.797,152.866,180.336,27.874969257466915
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-256,dotnetcore3.1,arm64,no,yes,yes,673625,256MB,100,256.498,1173.324,203.629,24.789864615875
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-512,dotnetcore3.1,arm64,no,yes,yes,673625,512MB,100,257.584,561.126,176.746,25.119173262409998
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-NoTC-YesR2R-YesPreJIT-5120,dotnetcore3.1,arm64,no,yes,yes,673625,5120MB,100,248.02,156.508,171.18,42.045975895999995
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-1024,dotnetcore3.1,arm64,yes,no,no,239343,1024MB,100,171.049,534.581,203.314,30.03864785966
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-128,dotnetcore3.1,arm64,yes,no,no,239343,128MB,130,170.583,5928.79,4075.139,36.873298366075
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-1769,dotnetcore3.1,arm64,yes,no,no,239343,1769MB,100,171.229,308.028,203.68,31.986657167366168
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-256,dotnetcore3.1,arm64,yes,no,no,239343,256MB,100,170.837,2695.031,1073.041,32.76030013452
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-512,dotnetcore3.1,arm64,yes,no,no,239343,512MB,100,172.202,1201.569,293.962,30.170259184379997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-NoPreJIT-5120,dotnetcore3.1,arm64,yes,no,no,239343,5120MB,100,163.398,301.286,192.032,53.088011105899994
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-1024,dotnetcore3.1,arm64,yes,no,yes,239343,1024MB,100,298.002,350.907,204.338,27.603294349619997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-128,dotnetcore3.1,arm64,yes,no,yes,239343,128MB,146,298.826,4203.94,3933.653,33.76272260779452
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-1769,dotnetcore3.1,arm64,yes,no,yes,239343,1769MB,100,298.837,202.007,201.67,29.498274426035508
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-256,dotnetcore3.1,arm64,yes,no,yes,239343,256MB,100,297.144,1855.431,973.893,29.631129155409997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-512,dotnetcore3.1,arm64,yes,no,yes,239343,512MB,100,297.865,810.294,287.426,27.518169257329998
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-NoR2R-YesPreJIT-5120,dotnetcore3.1,arm64,yes,no,yes,239343,5120MB,100,286.232,198.2,191.238,46.16266314599999
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-1024,dotnetcore3.1,arm64,yes,yes,no,673625,1024MB,100,174.315,373.283,208.119,27.952064093459995
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-128,dotnetcore3.1,arm64,yes,yes,no,673625,128MB,147,174.181,4404.029,3995.814,34.19980843406633
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-1769,dotnetcore3.1,arm64,yes,yes,no,673625,1769MB,100,174.744,215.102,208.364,29.95409825201824
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-256,dotnetcore3.1,arm64,yes,yes,no,673625,256MB,100,174.985,1932.393,1074.95,30.224525122375
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-512,dotnetcore3.1,arm64,yes,yes,no,673625,512MB,100,174.173,828.109,296.981,27.70063616966
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-NoPreJIT-5120,dotnetcore3.1,arm64,yes,yes,no,673625,5120MB,100,167.575,211.239,192.966,47.147121401599996
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-1024,dotnetcore3.1,arm64,yes,yes,yes,673625,1024MB,100,247.835,287.964,213.114,26.881076071880003
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-128,dotnetcore3.1,arm64,yes,yes,yes,673625,128MB,159,246.146,3540.904,3896.572,32.5958561089497
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-1769,dotnetcore3.1,arm64,yes,yes,yes,673625,1769MB,100,246.746,164.111,209.153,28.79774692341551
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-256,dotnetcore3.1,arm64,yes,yes,yes,673625,256MB,100,248.418,1565.029,979.111,28.680507735659997
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-512,dotnetcore3.1,arm64,yes,yes,yes,673625,512MB,100,247.013,649.746,300.551,26.53534300989
NewtonsoftJson,NewtonsoftJson-Core31-Arm64-YesTC-YesR2R-YesPreJIT-5120,dotnetcore3.1,arm64,yes,yes,yes,673625,5120MB,100,238.072,162.212,194.884,44.0065456988
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-1024,dotnetcore3.1,x86_64,no,no,no,239349,1024MB,100,177.605,458.61,171.496,30.70178267019
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-128,dotnetcore3.1,x86_64,no,no,no,239349,128MB,100,175.948,4094.056,386.575,29.534667002629998
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-1769,dotnetcore3.1,x86_64,no,no,no,239349,1769MB,100,175.218,268.776,172.872,32.91610360110165
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-256,dotnetcore3.1,x86_64,no,no,no,239349,256MB,100,176.412,2021.324,194.505,29.432638048572503
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-512,dotnetcore3.1,x86_64,no,no,no,239349,512MB,100,176.54,964.647,173.465,29.68429063521
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-NoPreJIT-5120,dotnetcore3.1,x86_64,no,no,no,239349,5120MB,100,172.205,262.205,173.455,56.50511427675
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-1024,dotnetcore3.1,x86_64,no,no,yes,239349,1024MB,100,318.84,285.335,169.728,27.784396835429998
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-128,dotnetcore3.1,x86_64,no,no,yes,239349,128MB,100,313.113,2550.269,370.507,26.28496196156625
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-1769,dotnetcore3.1,x86_64,no,no,yes,239349,1769MB,100,315.845,165.408,170.307,29.866023633766414
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-256,dotnetcore3.1,x86_64,no,no,yes,239349,256MB,100,313.43,1255.937,192.818,26.2364916562925
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-512,dotnetcore3.1,x86_64,no,no,yes,239349,512MB,100,315.513,596.043,169.26,26.577535255045
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-NoR2R-YesPreJIT-5120,dotnetcore3.1,x86_64,no,no,yes,239349,5120MB,100,307.822,162.445,173.359,48.1836893006
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-1024,dotnetcore3.1,x86_64,no,yes,no,672637,1024MB,100,184.005,267.646,172.384,27.533848001
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-128,dotnetcore3.1,x86_64,no,yes,no,672637,128MB,100,178.454,2452.663,366.547,26.07336508004
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-1769,dotnetcore3.1,x86_64,no,yes,no,672637,1769MB,100,181.062,160.376,175.236,29.863072415298888
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-256,dotnetcore3.1,x86_64,no,yes,no,672637,256MB,100,180.448,1207.251,204.604,26.082739265455
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-512,dotnetcore3.1,x86_64,no,yes,no,672637,512MB,100,179.564,570.645,174.393,26.408668250645
NewtonsoftJson,NewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-5120,dotnetcore3.1,x86_64,no,yes,no,672637,5120MB,100,176.479,157.656,176.714,48.0641890616
