Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,877317,1024MB,AVERAGE,50,514.561,760.559,3.898,3.587,2.794,2.754,3.517,2.672,3.149,2.576,2.723,2.438,2.914,2.418,2.902,2.289,3.777,3.222,3.461,2.729,2.296,2.846,2.994,2.549,2.187,2.73,2.597,72.021
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,877317,128MB,AVERAGE,50,514.534,6759.757,111.24,37.789,15.06,9.636,23.72,13.274,10.27,12.012,15.592,9.636,14.025,14.533,12.441,8.829,8.551,10.506,7.338,7.106,13.109,9.883,10.014,8.585,7.106,10.297,6.024,406.573
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,877317,1769MB,AVERAGE,50,515.221,442.568,4.063,3.331,2.678,2.939,2.864,2.438,2.768,2.789,2.899,2.584,3.027,2.717,3.438,2.901,2.3,3.153,2.588,2.497,2.397,2.492,2.541,2.626,2.118,2.487,3.062,69.698
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,877317,256MB,AVERAGE,50,516.95,3330.562,121.527,16.108,7.25,6.333,2.627,2.002,1.995,2.139,3.827,2.952,4.902,6.949,2.673,2.479,4.343,2.294,2.991,4.122,4.487,3.325,2.791,2.46,3.516,3.165,2.684,219.938
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,877317,512MB,AVERAGE,50,514.936,1579.98,8,5.855,3.101,9.536,7.144,3.76,2.562,2.13,4.362,2.703,4.074,3.052,2.591,2.48,2.2,2.085,1.914,2.824,2.483,1.891,1.93,1.912,2.252,2.016,1.944,84.802
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,2257252,1024MB,AVERAGE,50,395.656,490.433,4.907,3.049,3.365,3.043,2.471,4.229,2.402,2.585,2.827,3.198,3.666,2.852,3.446,2.676,3.013,2.925,2.997,2.903,2.386,2.294,2.521,2.632,2.748,2.494,2.488,74.115
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,2257252,128MB,AVERAGE,50,393.574,4380.445,123.735,39.999,26.219,15.692,16,11.708,8.695,11.636,14.888,15.764,13.502,7.599,8.114,9.276,10.763,8.158,12.048,8.027,8.542,10.67,11.636,10.582,15.731,13.482,11.496,443.961
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,2257252,1769MB,AVERAGE,50,393.997,279.122,4.766,3.25,3.239,2.784,2.791,2.479,2.691,2.634,3.014,3.179,2.944,2.919,2.983,2.728,2.729,2.445,4.158,2.723,2.72,2.6,2.808,2.6,2.405,2.883,2.425,72.899
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,2257252,256MB,AVERAGE,50,390.577,2122.075,47.768,16.091,13.015,6.748,3.768,2.99,3.859,3.704,10.03,5.745,7.091,8.081,2.67,6.777,7.151,5.449,2.281,3.222,8.68,2.441,4.11,3.908,3.992,2.608,4.287,186.466
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,2257252,512MB,AVERAGE,50,396.626,1024.891,6.577,4.143,3.249,3.678,3.759,2.43,2.545,2.485,5.935,2.771,3.773,3.636,2.934,3.005,2.513,2.322,3.99,2.567,3.031,2.533,3.286,2.833,2.315,3.77,2.405,82.483
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-NoR2R-1024,dotnet6,arm64,yes,no,877318,1024MB,AVERAGE,50,434.789,643.97,3.368,4.205,3.508,3.587,4.217,3.056,2.883,3.452,3.682,3.575,4.37,3.802,3.778,3.225,4.215,4.668,3.962,3.702,3.12,2.878,3.463,3.007,3.323,4.593,3.231,90.87
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-NoR2R-128,dotnet6,arm64,yes,no,877318,128MB,AVERAGE,50,434.808,6775.71,96.264,42.075,25.125,19.32,24.075,19.749,19.268,23.2,19.934,22.113,26.859,20.076,29.298,38.632,40.842,29.962,38.401,42.631,36.083,35.538,31.981,26.502,29.397,21.717,29.804,788.844
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-NoR2R-1769,dotnet6,arm64,yes,no,877318,1769MB,AVERAGE,50,434.794,369.146,4.159,3.405,3.674,2.984,3.86,2.49,2.517,3.204,3.704,3.076,3.364,3.289,3.586,3.019,3.416,4.226,3.914,4.601,4.265,4.017,3.451,3.581,3.159,2.96,3.999,87.921
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-NoR2R-256,dotnet6,arm64,yes,no,877318,256MB,AVERAGE,50,440.625,3177.239,66.438,22.398,4.336,6.656,5.338,2.415,2.769,6.039,4.136,8.11,9.31,5.647,5.335,10.029,5.963,9.627,7.075,8.069,13.195,11.15,12.441,13.19,15.326,10.228,14.126,279.347
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-NoR2R-512,dotnet6,arm64,yes,no,877318,512MB,AVERAGE,50,437.256,1397.904,6.606,6.65,3.136,8.725,4.756,4.167,4.923,5.835,5.097,8.409,9.938,5.31,8.936,3.261,4.722,2.848,4.158,4.006,4.858,3.447,5.609,6.791,4.031,3.758,4.661,134.638
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-YesR2R-1024,dotnet6,arm64,yes,yes,2257253,1024MB,AVERAGE,50,356.366,450.15,4.633,3.821,2.929,3.558,3.114,2.521,2.723,3.11,3.427,3.541,3.577,3.582,3.091,3.418,3.749,5.214,4.551,3.945,3.47,3.288,3.099,3.967,3.643,4.097,3.613,89.681
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-YesR2R-128,dotnet6,arm64,yes,yes,2257253,128MB,AVERAGE,50,357.196,5066.712,94.771,47.072,19.526,18.803,13.02,19.674,31.735,17.17,20.711,14.669,17.321,23.391,22.52,26.51,37.136,30.991,38.681,31.724,36.283,31.399,36.375,29.358,37.805,26.053,27.784,750.483
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-YesR2R-1769,dotnet6,arm64,yes,yes,2257253,1769MB,AVERAGE,50,357.589,259.026,5.253,4.324,3.554,3.18,2.632,3.426,2.474,3.263,3.499,3.923,3.431,3.495,2.634,3.211,3.404,3.397,2.744,3.009,4.04,3.785,3.678,4.016,4.18,3.324,3.832,87.706
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-YesR2R-256,dotnet6,arm64,yes,yes,2257253,256MB,AVERAGE,50,357.202,2328.571,28.016,14.384,8.384,10.375,5.225,5.358,4.375,5.361,5.679,5.238,4.693,9.555,6.393,7.088,10.586,10.057,7.35,19.9,11.479,15.218,19.077,20.149,12.943,19.567,21.21,287.66
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-YesTC-YesR2R-512,dotnet6,arm64,yes,yes,2257253,512MB,AVERAGE,50,357.236,1053.604,6.533,6.394,4.542,3.42,4.141,3.376,5.003,2.832,2.995,5.227,3.374,4.343,4.415,5.563,4.318,4.297,3.01,4.024,3.908,4.426,3.569,4.536,3.597,4.824,3.755,106.421
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-NoR2R-1024,dotnet6,x86_64,no,no,900909,1024MB,AVERAGE,50,465.969,585.771,3.898,2.628,2.348,2.285,2.388,3.345,2.362,2.262,2.846,4.088,3.502,2.738,2.16,3.682,3.328,2.511,2.762,2.198,2.55,2.639,2.534,2.31,2.454,2.814,2.974,69.607
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-NoR2R-128,dotnet6,x86_64,no,no,900909,128MB,AVERAGE,50,466.136,5233.494,72.446,17.912,12.973,13.567,13.911,5.959,7.918,12.403,20.778,8.964,15.359,8.645,17.627,11.887,7.737,7.798,13.283,14.109,16.502,8.977,10.126,10.679,13.28,15.154,8.44,366.432
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-NoR2R-1769,dotnet6,x86_64,no,no,900909,1769MB,AVERAGE,50,479.676,350.228,5.868,3.112,2.653,2.35,2.514,3.923,3.291,3.202,2.371,3.473,2.669,4.305,3.686,3.217,3.212,4.181,2.382,2.713,2.972,3.941,2.908,3.485,2.79,2.866,3.285,81.37
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-NoR2R-256,dotnet6,x86_64,no,no,900909,256MB,AVERAGE,50,461.978,2598.677,17.555,7.745,5.452,5.248,3.315,2.78,3.694,5.474,6.92,4.965,5.589,4.423,4.745,4.025,4.563,3.441,3.369,3.383,4.772,3.397,3.237,4.11,4.605,3.22,4.053,124.08
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-NoR2R-512,dotnet6,x86_64,no,no,900909,512MB,AVERAGE,50,469.797,1238.651,6.083,4.02,2.656,2.521,4.896,3.374,3.388,3.099,2.639,3.925,5.932,3.778,3.275,2.684,2.856,2.769,2.99,2.855,2.562,2.482,2.201,2.756,2.426,2.824,2.517,81.505
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-YesR2R-1024,dotnet6,x86_64,no,yes,2423526,1024MB,AVERAGE,50,361.444,350.782,4.138,2.994,2.275,2.317,2.114,2.967,2.529,2.41,2.827,3.237,2.531,3.293,2.911,2.431,3.215,2.573,2.729,2.112,2.341,2.253,2.905,2.095,2.24,2.45,2.104,65.991
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-YesR2R-128,dotnet6,x86_64,no,yes,2423526,128MB,AVERAGE,50,376.034,3191.831,90.849,26.318,18.36,10.692,14.751,19.655,11.216,13.241,15.976,16.675,13.6,10.379,12.124,11.916,7.812,12.054,8.3,6.973,9.736,9.011,15.302,9.01,13.895,10.917,10.232,398.993
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-x64-NoTC-YesR2R-1769,dotnet6,x86_64,no,yes,2423526,1769MB,AVERAGE,50,381.614,214.935,5.335,3.018,3.064,2.497,2.539,2.866,3.288,2.822,2.745,2.657,2.521,2.562,3.274,3.436,2.576,3.175,3.147,2.377,2.885,2.56,2.685,2.606,2.325,2.415,2.858,72.232
