Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used,Cost,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Used-26,Used-27,Used-28,Used-29,Used-30,Used-31,Used-32,Used-33,Used-34,Used-35,Used-36,Used-37,Used-38,Used-39,Used-40,Used-41,Used-42,Used-43,Used-44,Used-45,Used-46,Used-47,Used-48,Used-49,Used-50,Used-51,Used-52,Used-53,Used-54,Used-55,Used-56,Used-57,Used-58,Used-59,Used-60,Used-61,Used-62,Used-63,Used-64,Used-65,Used-66,Used-67,Used-68,Used-69,Used-70,Used-71,Used-72,Used-73,Used-74,Used-75,Used-76,Used-77,Used-78,Used-79,Used-80,Used-81,Used-82,Used-83,Used-84,Used-85,Used-86,Used-87,Used-88,Used-89,Used-90,Used-91,Used-92,Used-93,Used-94,Used-95,Used-96,Used-97,Used-98,Used-99
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnet6,arm64,no,no,no,877320,1024MB,100,513.97,765.596,224.192,13.167,3.539,3.145,2.866,2.847,2.817,2.501,2.306,2.599,2.477,2.381,2.322,2.177,2.121,2.107,2.403,2.149,2.244,2.171,2.186,2.507,2.132,2.092,2.203,2.209,2.455,2.304,2.343,2.323,2.328,2.507,2.493,2.622,2.296,2.349,2.104,2.169,2.202,2.076,2.102,1.92,2.201,2.033,2.11,1.978,2.067,2.06,1.953,1.985,1.962,1.906,2.023,2.003,2.064,1.985,1.928,2.001,1.926,1.917,1.95,1.929,1.91,2.223,1.909,1.886,2.04,1.946,1.978,2.069,1.93,1.965,1.992,2.422,1.967,2.124,2.241,2.19,2.36,2.548,2.014,2.508,2.185,2.13,2.59,2.442,2.487,2.548,2.413,3.108,2.541,2.532,2.102,2.518,2.547,2.47,2.271,2.326,3.233,2.17,2.285
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnet6,arm64,no,no,no,877320,128MB,149,512.864,6764.642,1167.66,13.205,105.885,29.332,16.942,17.862,13.786,12.487,9.952,11.183,10.061,10.671,9.151,8.704,8.444,8.403,8.61,7.57,9.425,8.338,7.828,8.768,9.385,8.932,7.723,8.947,10.329,8.076,11.101,7.949,9.899,9.247,10.675,10.339,10.057,9.454,10.923,9.657,11.504,10.061,12.044,10.551,12.763,10.679,12.966,11.686,14.578,12.005,12.827,14.314,12.421,13.992,11.932,12.456,14.811,12.851,14.061,11.189,11.354,11.381,10.734,10.344,12.179,11.314,10.117,11.659,12.024,10.141,9.748,11.245,10.094,9.969,11.429,10.458,10.912,9.719,11.028,10.546,9.709,12.027,9.9,10.914,9.327,9.793,9.774,9.708,9.132,9.65,8.312,9.491,8.908,9.507,10.665,10.357,9.144,9.83,9.697,9.936,9.872,10.352,9.475
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnet6,arm64,no,no,no,877320,1769MB,100,511.982,435.593,219.542,15.042,3.254,2.857,3.315,2.767,2.428,2.485,2.164,2.755,2.679,2.512,2.212,2.19,2.145,2.13,2.054,2.127,2.155,2.186,2.067,2.132,2.134,2.263,2.423,2.102,2.462,2.37,2.413,2.257,2.362,2.482,2.341,2.179,2.18,2.289,2.303,2.211,2.136,2.03,1.971,2.036,2.096,1.97,2.052,2.087,2.15,1.869,2.014,2.016,1.985,1.95,1.957,1.943,1.878,1.952,1.906,1.934,1.855,2.011,1.928,1.977,1.912,1.933,1.999,1.881,1.888,1.978,2.192,2.379,1.895,2.146,2.114,2.482,2.211,1.996,2.04,2.255,2.382,2.421,2.032,2.391,2.274,1.969,1.969,2.794,2.073,2.272,2.375,2.373,3.226,1.994,2.657,2.401,2.15,2.196,2.053,2.807,2.304,1.955,2.085
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnet6,arm64,no,no,no,877320,256MB,100,511.635,3288.299,406.16,12.305,98.296,20.445,11.51,4.803,3.699,3.587,2.893,3.182,2.253,2.462,2.406,2.496,2.321,2.655,2.191,3.612,2.854,2.506,2.445,3.188,2.531,2.495,3.272,2.546,2.785,2.406,2.337,2.489,2.276,2.865,3.346,2.687,2.854,2.587,2.47,2.325,2.253,2.661,2.872,2.506,3.161,2.767,2.406,3.357,2.789,3.112,2.933,2.681,2.953,3.737,2.904,3.965,2.8,3.21,3.224,3.051,3.143,3.353,3.346,3.255,2.602,2.859,3.654,3.37,3.063,3.488,2.416,2.413,2.565,2.203,2.927,3.149,2.719,3.31,2.857,2.623,4.198,2.767,3.032,2.772,2.611,2.966,2.8,3.116,2.721,2.7,2.661,2.524,2.634,2.834,2.823,2.409,3.037,2.705,2.482,2.739,2.781,3.037,3.082
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnet6,arm64,no,no,no,877320,512MB,100,513.131,1587.21,252.275,12.251,5.605,4.122,4.027,6.32,5.378,3.389,4.173,3.465,3.27,2.339,2.017,1.985,1.997,1.996,1.95,1.909,1.918,1.951,2.014,2.1,1.944,1.931,1.941,1.956,2.056,1.927,2.035,2.489,1.936,1.981,1.997,1.995,1.87,1.927,1.891,1.916,1.946,1.894,1.914,1.891,1.885,1.934,1.914,2.005,2.141,3.574,4.188,2.242,3.533,2.357,3.43,3.405,5.048,3.444,3.151,3.839,3.555,3.373,5.426,2.813,3.158,2.265,2.61,2.708,2.241,2.922,2.566,3.09,2.803,2.672,2.707,2.282,2.275,1.938,3.085,2.01,2.285,1.958,2.382,2.387,1.993,1.953,1.943,1.951,1.924,1.983,1.909,1.967,1.926,2.018,1.97,1.902,1.98,1.937,1.919,1.954,2.238,1.948,1.902
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnet6,arm64,no,no,no,877320,5120MB,100,470.9,417.885,227.907,42.92,6.576,6.908,3.965,2.993,2.365,2.079,2.165,2.18,2.209,2.202,2.136,2.119,1.994,1.972,2.116,1.948,2.023,1.987,1.947,2.052,2.018,2.007,1.937,1.962,2.069,2.256,1.925,1.972,2.174,1.977,1.977,2.098,2.114,1.963,2.238,2.326,1.969,2.013,1.985,1.933,2.137,2.223,2.008,2.634,2.231,2.538,2.122,2.428,2.26,2.469,2.781,2.605,2.525,2.492,2.286,2.423,2.423,2.499,2.471,2.694,2.317,2.562,2.328,2.353,2.426,2.233,2.444,2.373,2.215,2.453,2.126,2.282,2.139,2.349,2.441,1.994,2.086,2.017,2.152,2.104,2.278,2.037,2.023,2.013,2.057,2.064,2.112,2.099,2.118,1.968,2.09,2.032,2.096,2.05,1.967,2.247,2.099,2.07,2.001
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnet6,arm64,no,no,yes,877320,1024MB,100,531.201,760.795,223.089,13.085,3.199,2.605,2.694,2.766,2.445,2.238,2.793,2.724,2.336,2.56,2.236,2.194,2.272,2.211,2.155,2.103,2.304,1.994,2.02,2.183,2.396,2.231,2.114,2.12,2.174,2.354,2.262,2.367,2.573,2.276,2.417,2.367,2.288,2.168,2.264,2.176,2.195,2.25,1.972,2.274,1.971,1.962,1.939,2.047,1.943,2.034,1.983,1.939,2.017,1.926,1.894,1.993,1.92,1.976,1.989,1.977,1.956,1.905,1.966,2.073,2.006,2.053,2.084,1.987,1.947,1.941,2.125,1.983,2.061,2.054,2.078,1.979,2.013,2.022,2.082,2.282,2.304,2.174,2.285,2.156,2.797,2.273,1.972,2.201,2.928,2.472,2.258,2.579,2.273,2.243,2.888,2.91,2.507,2.785,3.628,2.23,3.039,2.319,2.492
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnet6,arm64,no,no,yes,877320,128MB,147,531.611,6742.72,1205.893,13.232,98.167,35.376,17.076,14.642,14.184,13.656,13.643,11.828,10.378,13.642,9.369,10.629,8.157,8.328,8.12,8.663,7.757,8.125,9.401,10.602,9.311,9.154,7.908,9.742,8.22,9.119,9.257,9.196,9.757,11.573,10.751,9.9,11.051,11.117,10.552,11.929,11.773,13.412,11.667,14.658,11.39,12.132,11.065,11.215,15.156,12.503,13.681,15.795,15.364,15.051,15.326,15.311,13.204,11.304,15.875,12.325,12.669,11.914,13.558,12.315,12.779,9.621,10.205,9.941,9.173,10.198,11.412,12.266,10.534,10.883,10.132,10.159,11.034,10.361,9.99,9.752,10.546,11.209,9.183,10.517,10.989,10.169,10.043,10.9,8.939,9.477,10.622,9.887,10.343,10.395,8.811,9.232,10.319,10.639,8.464,9.402,9.728,9.001,9.697
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnet6,arm64,no,no,yes,877320,1769MB,100,529.5,434.259,221.602,15.058,3.184,2.997,3.059,2.975,2.439,2.242,2.305,2.836,2.733,2.416,2.335,2.199,2.162,2.325,2.225,2.144,2.153,2.22,2.238,2.197,2.216,2.293,2.072,2.147,2.314,2.326,2.287,2.456,2.398,2.731,2.414,2.292,2.426,2.148,2.254,2.247,2.172,1.99,2.105,1.97,1.96,2.024,1.924,2.076,2.247,1.959,1.968,1.958,2.017,1.929,1.931,1.977,1.997,1.907,1.962,2,2.007,1.89,2.031,1.905,1.924,1.934,1.974,1.989,1.947,1.969,1.992,2.094,1.97,2.028,2.156,2.14,2.347,2.333,2.278,2.157,2.422,2.141,2.212,2.168,2.194,2.29,2.548,2.273,2.166,2.189,2.344,2.427,2.803,2.659,2.719,2.144,2.676,2.147,2.722,2.218,2.242,2.245,2.112
SampleAwsNewtonsoftTopLevel,SampleAwsNewtonsoftTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnet6,arm64,no,no,yes,877320,256MB,100,531.522,3302.877,397.522,12.326,93.554,27.324,7.162,4.369,3.437,3.383,2.553,3.509,2.993,2.529,2.287,2.188,2.441,2.571,2.76,2.697,2.554,2.16,3.157,2.253,2.568,2.466,3.703,2.623,2.455,2.794,2.523,2.367,2.519,2.735,2.284,2.5,2.618,2.475,2.804,2.642,2.355,2.82,2.595,2.652,2.328,3.125,3.368,2.565,2.962,2.491,2.942,3.337,3.258,2.771,3.054,2.993,3.051,3.399,3.461,3.333,3.33,2.766,2.638,3.458,3.244,3.115,2.599,2.695,2.595,3.585,2.697,2.914,2.753,3.015,2.641,2.647,2.617,3.542,2.915,2.63,2.912,2.26,2.708,3.084,2.821,2.556,2.62,2.607,2.548,3.195,2.418,3.034,2.851,2.617,2.954,2.549,2.284,2.662,3.06,2.664,2.629,2.759,2.521
