Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,685809,1024MB,AVERAGE,50,503.48,296.563,4.575,2.756,2.607,2.575,2.096,2.842,2.369,2.907,2.947,2.417,2.714,3.223,2.403,5.768,5.633,4.412,3.744,2.981,2.693,2.194,2.541,1.988,2.021,1.931,2.596,74.935
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,685809,128MB,AVERAGE,50,502.523,2729.811,115.301,40.771,17.975,13.386,14.881,14.663,17.839,11.388,19.603,18.716,32.259,12.573,15.195,6.4,7.435,11.364,17.733,15.563,7.429,14.046,7.848,26.686,10.587,13.298,29.881,512.82
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,685809,1769MB,AVERAGE,50,496.725,171.998,4.406,3.155,2.781,2.519,2.468,2.295,2.297,2.398,2.506,2.297,2.6,2.718,3.089,4.895,5.056,4.617,3.678,3.342,2.71,2.3,1.997,2.213,2.323,2.06,2.17,72.889
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,685809,256MB,AVERAGE,50,501.84,1362.355,27.515,10.156,7.963,7.748,6.56,3.422,3.49,4.984,4.346,4.377,5.98,5.687,3.876,3.205,3.43,4.009,4.488,4.15,3.151,4.197,4.656,4.249,3.832,3.933,4.353,143.758
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,685809,512MB,AVERAGE,50,503.054,632.439,5.138,4.233,2.491,3.993,6.62,4.888,7.161,4.486,9.45,6.924,4.8,4.17,3.565,2.358,2.381,2.478,2.146,1.986,2.045,1.931,2.147,1.946,1.856,2.141,2.158,93.492
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,1669207,1024MB,AVERAGE,50,376.22,260.119,4.373,4.374,3.113,3.001,2.276,3.021,2.063,2.499,4.085,2.845,2.218,3.365,2.197,2.251,2.082,2.805,4.838,4.136,3.242,4.656,4.107,2.413,2.873,2.227,2.32,77.379
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,1669207,128MB,AVERAGE,50,376.834,2400.288,129.459,46.418,22.348,18.283,24.21,12.28,12.815,9.511,18.59,18.609,19.449,12.734,11.766,9.748,13.269,21.181,19.609,12.881,15.532,13.741,10.632,9.327,8.348,9.84,13.194,513.774
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,1669207,1769MB,AVERAGE,50,377.166,153.014,4.757,2.777,3.095,2.368,2.525,2.144,2.526,2.584,2.765,2.725,2.927,2.384,2.326,3.105,3.078,4.412,4.186,3.519,4.449,3.682,2.759,2.358,2.329,2.075,1.969,73.825
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,1669207,256MB,AVERAGE,50,376.627,1207.9,28.452,9.818,5.869,4.56,4.211,2.637,3.574,2.943,4.691,7.985,6.225,8.634,6.492,3.762,3.494,3.936,2.74,3.127,4.021,2.691,4.442,3.206,3.113,3.517,2.849,136.99
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,1669207,512MB,AVERAGE,50,376.419,545.717,8.312,4.601,3.835,3.299,2.198,2.879,2.164,3.923,2.945,3.205,3.933,4.728,3.368,3.002,4.37,4.73,4.835,8.207,3.967,2.658,3.301,1.996,2.041,1.985,2.504,92.984
