Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Used-26,Used-27,Used-28,Used-29,Used-30,Used-31,Used-32,Used-33,Used-34,Used-35,Used-36,Used-37,Used-38,Used-39,Used-40,Used-41,Used-42,Used-43,Used-44,Used-45,Used-46,Used-47,Used-48,Used-49,Used-50,Used-51,Used-52,Used-53,Used-54,Used-55,Used-56,Used-57,Used-58,Used-59,Used-60,Used-61,Used-62,Used-63,Used-64,Used-65,Used-66,Used-67,Used-68,Used-69,Used-70,Used-71,Used-72,Used-73,Used-74,Used-75,Used-76,Used-77,Used-78,Used-79,Used-80,Used-81,Used-82,Used-83,Used-84,Used-85,Used-86,Used-87,Used-88,Used-89,Used-90,Used-91,Used-92,Used-93,Used-94,Used-95,Used-96,Used-97,Used-98,Used-99
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnet6,arm64,no,no,no,685810,1024MB,100,497.53,298.05,217.762,3.353,2.62,2.667,2.655,2.359,2.15,2.175,2.114,2.227,2.202,2.045,2.284,1.893,3.868,2.896,3.522,3.221,3.599,2.621,3.072,2.471,2.217,2.309,2.407,2.285,2.045,2.344,2.157,2.031,2.132,2.295,1.889,1.993,1.92,1.914,1.907,1.852,1.849,1.867,1.833,1.873,1.85,1.851,1.917,1.835,1.858,1.825,1.942,1.858,1.846,1.835,1.969,2.231,2.276,2.134,2.068,2.183,1.984,2.287,2.107,2.631,2.141,2.066,2.302,2.082,2.407,2.634,2.583,2.526,2.536,2.507,1.892,2.442,2.106,2.501,2.094,2.027,2.062,1.847,2.085,2.16,1.986,2.125,2.388,2.145,2.005,1.789,1.847,1.822,2.059,1.827,1.996,1.857,1.977,1.858,2.012,1.804,1.804,1.847
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnet6,arm64,no,no,no,685810,128MB,100,502.396,2762.905,1006.057,86.631,36.642,17.734,15.956,8.737,7.946,9.007,7.77,6.525,7.693,8.067,8.401,6.873,7.612,8.377,6.683,6.201,8.155,6.734,8.025,6.044,8.022,6.763,7.663,6.215,11.359,10.768,18.984,13.574,15.858,10.913,16.682,17.816,20.85,23.763,14.062,16.358,24.467,23.115,16.777,10.244,10.428,10.57,17.57,13.129,10.462,13.417,9.877,10.485,9.008,8.646,7.48,8.043,6.913,6.862,6.305,6.282,5.94,7.068,6.188,6.958,6.891,8.052,6.836,6.942,7.513,7.291,6.743,5.672,8.262,7.171,6.672,6.267,7.266,5.985,6.084,6.862,6.56,5.921,6.428,6.206,6.748,5.505,6.322,6.924,6.847,6.142,6.389,5.939,4.768,5.974,5.158,5.247,7.198,6.079,6.859,4.949,6.874,4.819
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnet6,arm64,no,no,no,685810,1769MB,100,501.545,174.345,216.422,3.403,2.913,2.639,2.719,2.309,2.197,2.2,2.105,2.269,2.242,2.127,1.962,2.026,2.514,2.915,2.962,4.096,3.712,3.436,2.271,2.438,2.406,2.351,2.639,1.972,2.116,2.335,2.045,2.247,2.007,2.119,1.926,2.032,2.018,1.943,1.877,1.902,1.858,1.908,1.879,1.864,1.87,1.938,1.875,1.806,1.877,1.824,1.845,1.884,1.84,1.847,1.91,1.914,1.923,1.922,1.789,2.004,1.85,1.81,1.928,2.144,2.376,2.532,2.543,2.339,2.165,2.457,2.857,2.943,2.277,2.289,2.457,2.666,1.97,2.657,2.124,1.815,1.99,2.176,1.924,1.964,2.35,1.954,1.892,2.087,1.924,2.124,1.867,2.07,1.849,1.926,1.972,1.897,1.862,1.939,1.824,1.906,1.957,1.805
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnet6,arm64,no,no,no,685810,256MB,100,499.61,1364.547,381.57,20.495,7.234,7.337,6.631,3.776,4.273,2.926,4.63,2.949,2.681,2.585,2.665,2.424,2.459,2.567,2.557,2.515,3.572,2.597,2.811,2.675,2.471,3.296,3.266,3.208,3.574,3.917,3.243,3.614,3.35,3.023,3.423,2.896,3.444,2.807,2.942,3.046,3.872,2.971,2.316,2.381,2.803,3.19,2.299,2.515,2.538,2.478,3.305,3.287,2.978,2.543,3.125,3.615,3.463,2.353,3.695,4.827,2.442,2.962,4.738,3.463,4.229,4.872,4.979,4.393,4.162,6.077,6.297,5.499,4.474,6.066,4.057,7.368,6.754,4.849,4.305,3.75,6.199,4.949,7.564,4.357,4.402,4.633,3.744,2.451,3.962,3.63,2.698,3.312,2.924,2.499,2.915,2.714,3.241,2.339,3.141,3.27,2.496,3.969
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnet6,arm64,no,no,no,685810,512MB,100,503.964,628.021,254.507,3.873,3.038,2.899,2.744,4.05,4.221,6.1,6.203,4.832,5.811,6.367,3.806,2.532,2.037,1.923,1.98,2.548,1.939,2.24,2.41,1.997,2.064,2.108,2.038,1.969,1.949,2.01,1.928,1.942,2.019,1.84,1.864,1.899,2.052,1.881,1.868,1.986,1.856,1.952,1.841,1.868,1.943,1.864,1.91,1.918,2.512,2.89,1.845,2.622,1.963,2.008,2.134,2.467,2.328,3.356,4.228,2.839,3.16,2.635,4.368,3.24,3.224,3.149,3.44,3.173,2.823,3.597,2.588,2.501,2.386,2.724,1.839,2.838,2.455,2.698,2.594,2.013,2.579,2.537,2.212,2.434,2.174,2.134,2.278,1.835,2.019,2.185,2.027,1.817,2.247,2.229,1.848,1.813,1.839,1.866,1.799,2.184,1.869,1.832
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnet6,arm64,no,no,no,685810,5120MB,100,458.608,172.591,216.027,5.325,3.92,3.176,2.515,2.392,2.114,2.118,2.202,2.38,2.422,1.995,2.067,2.111,2.026,2.17,2.135,2.027,1.982,2.004,1.984,2.194,2.054,2.073,2.227,2.098,2.122,2.021,2.037,2.039,2.025,2.136,2.32,2.225,2.23,2.253,2.27,1.907,2.217,2.387,2.133,2.12,2.116,2.256,2.246,2.196,2.189,2.027,2.098,2.128,2.317,2.036,1.957,2.017,2.211,1.842,2.174,1.906,2.217,2.051,2.092,1.979,2.274,2.472,1.937,1.893,1.931,2.231,2.053,2.138,2.078,1.783,2.352,2.134,1.929,1.987,2.063,1.927,1.939,1.972,2.005,2.241,2.177,2.218,2.074,2.29,2.093,1.991,1.885,2.025,2.55,2.155,1.936,2.04,2.334,2.314,2.387,2.068,1.968,1.978
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnet6,arm64,no,no,yes,685810,1024MB,100,501.882,298.539,217.009,3.065,2.755,2.556,2.585,2.156,2.064,2.087,2.142,2.353,2.245,2.014,1.955,1.942,2.89,3.144,3.461,3.318,2.906,2.802,3.022,2.537,2.722,3.026,2.461,2.326,2.101,1.933,2.213,1.96,2.237,2.038,2.015,1.934,1.976,1.864,1.886,1.872,1.835,1.9,1.835,1.83,1.872,1.812,1.897,1.999,1.905,1.848,1.985,1.845,1.85,1.932,1.845,1.826,2.268,2.065,1.909,1.867,2.067,2.186,2.029,2.122,2.141,2.279,2.246,2.27,1.985,2.817,2.643,2.539,2.828,2.19,2.33,2.131,2.252,2.714,2.33,2.093,1.848,2.156,2.375,2.473,2.23,2.01,2.384,2.051,2.081,1.825,1.822,1.786,2.011,2.007,1.845,2.027,1.837,2.022,1.774,1.892,1.873,1.809
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnet6,arm64,no,no,yes,685810,128MB,100,502.908,2766.501,1006.464,84.228,35.97,17.413,11.302,10.102,9.621,7.77,7.764,6.901,10.907,6.886,7.283,8.097,8.994,6.98,7.692,7.18,6.883,5.532,5.512,5.408,9.364,8.226,6.714,7.628,6.951,10.866,12.445,10.749,17.398,17.341,16.624,19.816,11.356,12.629,15.893,10.16,20.442,22.707,18.497,18.452,14.659,15.352,13.722,11.876,12.445,15.742,10.623,9.414,8.274,8.071,9.277,9.334,8.327,6.818,6.558,8.246,7.259,6.86,7.285,8.056,6.605,6.595,7.079,5.235,7.148,6.05,6.909,8.71,6.924,7.45,6.367,5.794,6.178,5.792,7.793,5.47,6.492,9.158,7.228,8.331,5.689,7.277,6.346,6.23,5.968,5.636,6.859,6.778,5.735,6.884,8.184,6.72,6.458,6.889,5.289,6.843,7.162,7.338
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnet6,arm64,no,no,yes,685810,1769MB,100,500.811,174.803,216.1,3.442,2.933,2.683,2.618,2.302,2.249,2.117,2.124,2.069,2.033,2.136,1.965,1.981,3.222,2.661,3.299,2.947,3.334,2.369,2.737,3.47,2.516,2.482,2.375,2.196,2.337,2.023,2.212,2.181,1.971,1.981,1.887,2.009,2.129,2.104,1.928,1.854,1.818,1.933,1.883,1.877,1.878,1.829,1.856,1.949,1.899,1.916,1.834,1.83,1.845,1.846,1.952,2.064,2.177,2.006,1.999,2.032,2.125,2.148,2.123,2.271,2.021,2.295,1.969,2.116,2.307,3.1,2.299,2.571,2.173,2.157,2.14,2.364,2.473,2.452,2.499,2.29,2.271,2.035,2.067,1.945,2.169,1.992,1.957,1.817,2.069,1.97,1.93,2.13,1.864,1.864,1.906,1.822,1.889,1.839,1.831,1.861,1.798,1.885
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnet6,arm64,no,no,yes,685810,256MB,100,499.306,1374.511,380.871,19.193,8.72,6.279,3.807,3.262,4.394,2.831,3.794,2.68,2.856,2.399,2.237,2.596,2.61,2.452,3.329,2.811,2.414,3.308,3.259,2.788,3.075,3.111,3.262,2.774,3.803,3.299,3.951,3.279,3.432,3.936,2.94,3.971,3.327,2.787,2.664,2.638,4.088,5.421,2.306,3.137,3.446,3.552,2.449,3.025,2.992,2.614,3.725,3.027,2.201,2.753,2.938,2.9,3.22,5.119,4.262,2.604,2.634,2.309,3.647,4.804,3.875,5.725,4.971,5.662,6.664,4.541,4.4,7.648,6.382,3.782,5.262,6.206,7.519,5.601,6.882,2.607,2.417,3.112,4.821,6.718,3.816,3.701,4.089,4.492,3.392,3.088,3.069,3.295,2.389,2.931,3.057,2.996,3.147,2.59,2.785,2.564,2.344,2.894
