Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,no,no,no,685810,1024MB,100,512.492,305.808,226.524,27.297784822079997
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,no,no,no,685810,128MB,100,509.497,2803.665,971.497,26.491968793019996
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,no,no,no,685810,1769MB,100,510.632,177.189,226.093,29.48918291833861
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,no,no,no,685810,256MB,100,508.835,1395.976,393.095,26.16360115119
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,no,no,no,685810,512MB,100,511.226,641.871,262.224,26.227330136499997
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,no,no,no,685810,5120MB,100,465.352,174.108,222.927,46.6690790114
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,no,no,yes,685810,1024MB,100,527.874,304.094,225.786,27.26511265872
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,no,no,yes,685810,128MB,100,527.966,2819.378,961.209,26.501010004892496
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnet6,arm64,no,no,yes,685810,1769MB,100,532.215,177.774,223.545,29.443967236532163
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnet6,arm64,no,no,yes,685810,256MB,100,525.975,1396.156,370.863,26.090091116975
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnet6,arm64,no,no,yes,685810,512MB,100,526.744,632.177,259.147,26.142189710799997
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnet6,arm64,no,no,yes,685810,5120MB,100,482.952,174.596,225.017,46.8409465374
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnet6,arm64,no,yes,no,1669207,1024MB,100,385.679,269.319,230.133,26.859394630139995
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnet6,arm64,no,yes,no,1669207,128MB,100,386.652,2474.271,1091.324,26.142688713294998
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnet6,arm64,no,yes,no,1669207,1769MB,100,383.888,155.28,226.064,28.983866002443747
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnet6,arm64,no,yes,no,1669207,256MB,100,383.007,1252.969,368.245,25.604073686899998
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnet6,arm64,no,yes,no,1669207,512MB,100,388.967,571.088,267.13,25.78814327391
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnet6,arm64,no,yes,no,1669207,5120MB,100,341.936,154.921,227.329,45.6834340832
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnet6,arm64,no,yes,yes,1669207,1024MB,100,398.483,268.904,230.745,26.86201597658
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnet6,arm64,no,yes,yes,1669207,128MB,100,398.127,2450.099,1093.968,26.1068080338925
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnet6,arm64,no,yes,yes,1669207,1769MB,100,399.495,153.517,228.921,29.009051344515665
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00256,dotnet6,arm64,no,yes,yes,1669207,256MB,100,396.732,1247.422,389.008,25.654795607175
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00512,dotnet6,arm64,no,yes,yes,1669207,512MB,100,402.511,568.512,265.443,25.7597211318
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-NoTC-YesR2R-YesPreJIT-05120,dotnet6,arm64,no,yes,yes,1669207,5120MB,100,356.232,155.081,227.03,45.6742207038
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,yes,no,no,685811,1024MB,100,431.089,253.472,265.412,27.118489258940002
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,yes,no,no,685811,128MB,164,430.941,2873.616,3958.288,31.586562115452747
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,yes,no,no,685811,1769MB,100,432.583,147.315,256.005,29.49003978199791
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,yes,no,no,685811,256MB,100,428.956,1269.243,1107.317,28.121904609325
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,yes,no,no,685811,512MB,100,432.307,536.546,409.408,26.506390865129998
SampleAwsSystemTextJsonTopLevel,SampleAwsSystemTextJsonTopLevel-Net6-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,yes,no,no,685811,5120MB,100,402.625,149.756,237.45,46.0138024017
