Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Used-26,Used-27,Used-28,Used-29,Used-30,Used-31,Used-32,Used-33,Used-34,Used-35,Used-36,Used-37,Used-38,Used-39,Used-40,Used-41,Used-42,Used-43,Used-44,Used-45,Used-46,Used-47,Used-48,Used-49,Used-50,Used-51,Used-52,Used-53,Used-54,Used-55,Used-56,Used-57,Used-58,Used-59,Used-60,Used-61,Used-62,Used-63,Used-64,Used-65,Used-66,Used-67,Used-68,Used-69,Used-70,Used-71,Used-72,Used-73,Used-74,Used-75,Used-76,Used-77,Used-78,Used-79,Used-80,Used-81,Used-82,Used-83,Used-84,Used-85,Used-86,Used-87,Used-88,Used-89,Used-90,Used-91,Used-92,Used-93,Used-94,Used-95,Used-96,Used-97,Used-98,Used-99
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1024,dotnet6,arm64,no,no,no,1900729,1024MB,100,511.492,457.587,238.873,4.121,4.33,3.751,2.832,2.836,2.51,2.877,2.575,2.595,2.414,2.373,2.389,2.389,2.371,2.408,2.381,2.389,2.406,2.334,2.429,2.331,2.28,2.39,2.301,2.49,2.381,2.384,2.358,2.375,2.341,2.438,2.244,2.258,2.233,2.335,2.226,2.443,2.262,2.296,2.217,2.217,2.238,2.24,2.176,2.282,2.224,2.282,2.207,2.21,2.212,2.165,2.296,2.264,2.273,2.256,2.303,2.352,2.391,2.355,2.403,2.254,2.307,2.362,2.359,2.404,2.399,2.378,2.365,2.424,2.512,2.35,2.344,2.359,2.336,2.493,2.387,2.35,2.369,2.393,2.346,2.408,2.374,2.352,2.332,2.374,2.369,2.311,2.354,2.328,2.339,2.371,2.291,2.427,2.31,2.381,2.328,2.404,2.366,2.329
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-128,dotnet6,arm64,no,no,no,1900729,128MB,184,511.9,4042.785,1680.73,80.993,42.505,25.979,18.653,16.543,14.33,13.276,14.257,13.246,12.566,13.9,13.691,12.646,13.422,12.614,12.615,13.124,12.094,12.561,12.896,12.685,14.115,13.526,15.077,12.854,13.456,13.869,15.224,15.245,14.059,14.007,13.727,14.249,14.059,13.831,15.411,14.804,16.945,16.107,18.149,14.063,16.688,15.67,17.212,15.757,15.961,16.871,16.383,16.721,16.31,17.479,17.202,15.6,18.854,16.099,16.697,18.418,15.84,17.595,17.864,17.538,18.748,17.38,18.174,16.527,18.17,16.744,18.767,16.319,18.307,18.334,17.241,16.976,16.435,19.294,18.648,18.987,15.952,18.811,17.079,18.209,16.845,17.207,17.875,20.119,15.638,18.357,18.095,17.125,17.175,16.787,13.944,15.955,16.267,15.872,15.765,16.161,16.274,16.036
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-1769,dotnet6,arm64,no,no,no,1900729,1769MB,100,510.743,267.052,237.997,4.502,4.024,3.296,2.85,2.747,2.654,2.52,2.671,2.833,2.586,2.356,2.328,2.351,2.514,2.396,2.401,2.374,2.568,2.424,2.425,2.372,2.416,2.382,2.485,2.335,2.383,2.533,2.394,2.408,2.432,2.352,2.361,2.261,2.273,2.226,2.215,2.217,2.188,2.222,2.235,2.207,2.267,2.322,2.267,2.24,2.215,2.185,2.226,2.22,2.23,2.282,2.185,2.219,2.307,2.252,2.261,2.242,2.194,2.325,2.284,2.306,2.357,2.358,2.272,2.368,2.408,2.328,2.362,2.337,2.342,2.309,2.298,2.343,2.323,2.336,2.367,2.36,2.314,2.316,2.445,2.435,2.416,2.311,2.358,2.368,2.327,2.311,2.32,2.399,2.348,2.35,2.346,2.298,2.365,2.341,2.393,2.305,2.365,2.36
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-256,dotnet6,arm64,no,no,no,1900729,256MB,100,513.965,1979.008,487.505,35.665,16.358,8.237,7.674,5.808,5.868,4.369,4.546,3.978,4.125,4.228,4.567,5.291,4.963,4.501,4.65,4.41,4.294,3.933,3.574,3.915,5.781,4.437,4.269,4.842,4.251,4.466,4.055,4.197,3.663,4.029,3.939,4.131,3.82,3.967,4.78,4.937,3.902,4.268,4.07,3.81,4.177,3.791,4.111,3.94,4.01,4.527,4.252,4.479,4.535,4.402,4.886,4.549,3.9,5.535,4.774,4.338,4.962,4.683,3.895,3.776,4.409,4.425,4.997,4.478,3.59,4.437,4.17,5.209,4.331,4.885,5.41,4.769,3.651,3.803,4.399,5.936,5.093,4.755,4.058,4.592,4.44,5.188,4.22,4.001,3.766,4.433,4.688,4.318,3.988,4.232,4.017,4.341,4.671,4.165,4.382,4.502,4.185,4.489
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-512,dotnet6,arm64,no,no,no,1900729,512MB,100,515.66,952.341,253.179,9.094,5.232,3.769,3.159,2.604,2.565,2.591,2.708,2.519,2.298,2.367,2.46,2.399,2.307,2.381,2.293,2.344,2.396,2.314,2.657,2.633,2.563,2.302,2.383,2.42,2.53,2.573,2.341,2.357,2.47,2.541,2.277,2.31,2.356,2.336,2.364,2.323,2.205,2.441,2.295,2.562,2.238,2.262,2.289,2.492,2.315,2.226,2.272,2.705,2.289,2.38,2.317,2.403,2.617,2.327,2.318,2.43,2.464,2.878,2.515,2.49,2.453,2.461,2.537,2.557,2.574,2.39,2.415,2.402,2.583,2.533,2.409,2.734,2.449,2.496,2.309,2.363,2.372,2.397,2.512,2.612,2.351,2.456,2.455,2.455,2.357,2.436,2.572,2.639,2.375,2.497,2.415,2.37,2.7,2.507,2.458,2.457,2.441,2.421
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-NoPreJIT-5120,dotnet6,arm64,no,no,no,1900729,5120MB,100,466.057,246.661,235.132,4.806,3.493,3.057,2.694,2.485,2.437,2.524,2.465,2.441,2.502,2.539,2.323,2.409,2.609,2.625,2.617,2.429,2.401,3.163,2.605,2.441,2.5,2.42,2.325,2.529,2.513,2.397,2.318,2.259,2.428,2.325,2.325,2.271,2.196,2.143,2.532,2.189,2.167,2.142,2.204,2.128,2.126,2.226,2.204,2.333,2.182,2.212,2.189,2.231,2.161,2.258,2.216,2.19,2.23,2.228,2.242,2.191,2.194,2.19,2.238,2.314,2.277,2.23,2.226,2.197,2.301,2.271,2.345,2.307,2.216,2.198,2.329,2.275,2.172,2.267,2.336,2.276,2.298,2.222,2.292,2.302,2.413,2.287,2.405,2.367,2.34,2.271,2.291,2.315,2.388,2.311,2.31,2.387,2.298,2.359,2.281,2.287,2.44,2.317
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1024,dotnet6,arm64,no,no,yes,1900729,1024MB,100,512.687,452.234,242.505,4.328,3.834,3.64,2.785,2.587,2.57,2.491,2.759,2.439,2.393,2.398,2.273,2.316,2.441,2.414,2.268,2.375,2.415,2.346,2.416,2.253,2.321,2.412,2.28,2.352,2.346,2.34,2.34,2.286,2.419,2.374,2.263,2.219,2.26,2.168,2.238,2.201,2.379,2.263,2.198,2.173,2.256,2.17,2.229,2.211,2.2,2.188,2.274,2.171,2.274,2.154,2.223,2.332,2.276,2.211,2.271,2.305,2.25,2.248,2.215,2.416,2.306,2.249,2.327,2.395,2.369,2.355,2.337,2.304,2.306,2.275,2.296,2.355,2.354,2.277,2.381,2.362,2.341,2.386,2.388,2.357,2.329,2.303,2.373,2.284,2.279,2.451,2.282,2.353,5.145,2.362,2.358,6.795,2.353,2.325,2.372,2.298,2.344,2.337
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-128,dotnet6,arm64,no,no,yes,1900729,128MB,184,513.609,4037.743,1659.875,79.674,40.522,21.922,16.148,13.702,13.511,13.357,12.553,14.404,13.583,14.707,14.223,12.795,12.417,13.019,12.89,12.983,12.581,12.906,12.707,13.948,14.739,13.704,14.86,11.982,14.394,15.066,14.209,12.35,15.278,14.468,13.251,15.148,15.304,14.306,14.224,13.79,16.477,15.597,14.387,14.672,14.822,15.771,15.756,14.731,15.771,16.256,16.882,15.603,16.366,16.392,15.399,17.169,16.716,17.027,16.602,16.002,17.354,16.975,17.873,17.376,17.123,16.638,19.823,18.168,18.204,16.842,18.558,19.713,16.658,18.411,17.136,17.941,17.285,17.606,16.841,16.833,17.277,18.42,19.006,17.169,17.774,17.775,15.839,18.324,17.347,15.738,17.784,17.619,16.255,16.317,17.617,17.711,17.918,16.405,16.995,15.054,16.549,15.604
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-1769,dotnet6,arm64,no,no,yes,1900729,1769MB,100,512.278,268.739,241.854,4.143,4.196,3.343,2.854,2.735,2.523,2.578,4.14,4.98,2.404,2.408,2.355,2.322,2.645,2.448,2.357,2.376,2.379,2.421,2.368,2.36,2.405,2.333,2.475,2.335,2.448,2.531,2.368,2.312,2.324,2.393,2.52,2.352,2.184,2.257,2.209,2.23,2.152,2.294,2.185,2.285,2.201,2.228,2.298,2.209,2.201,2.303,2.251,2.347,2.264,2.277,2.248,2.256,2.274,2.208,2.327,2.306,2.3,2.316,2.221,2.384,2.366,2.394,2.378,2.475,2.255,2.39,2.409,2.373,2.319,2.376,2.361,2.41,2.372,2.291,2.377,2.318,2.342,2.362,2.342,2.302,2.435,2.288,2.498,2.324,2.346,2.319,2.318,2.297,2.38,2.359,2.332,2.342,2.386,2.391,2.302,2.323,2.306,2.357
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-256,dotnet6,arm64,no,no,yes,1900729,256MB,100,511.55,1981.273,471.019,38.522,16.985,6.686,5.357,6,4.312,4.092,3.828,3.682,5.209,4.461,4.739,4.138,3.823,4.09,3.808,4.205,3.935,3.475,4.254,4.172,4.131,4.58,4.875,4.15,4.022,3.77,3.502,3.859,4.644,3.408,4.458,5.062,4.997,3.791,3.239,3.7,3.566,4.283,5.958,4.051,4.981,3.642,3.991,3.534,4.228,4.688,4.668,4.032,4.344,4.142,4.833,4.558,3.995,4.686,3.847,4.318,4.646,4.133,3.993,5.183,4.416,4.019,4.25,4.439,4.272,3.72,4.056,4.11,4.386,5.196,4.342,3.727,3.848,3.861,3.837,4.156,4.084,4.238,4.537,3.941,5.124,3.943,5.247,4.046,4.23,3.362,3.678,4.585,4.154,4.653,3.924,4.356,3.737,4.231,4.346,3.612,4.935,5.165
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-512,dotnet6,arm64,no,no,yes,1900729,512MB,100,514.427,956.542,265.876,7.371,4.592,3.567,2.938,2.719,2.745,2.958,2.98,2.739,2.544,2.392,2.464,2.602,2.384,2.48,2.524,2.443,2.363,2.525,7.609,2.421,2.357,2.353,2.494,2.393,2.495,2.371,2.466,2.494,2.377,10.745,2.488,2.53,2.375,2.253,2.273,2.386,2.307,2.278,2.155,2.205,2.33,2.607,2.213,2.414,2.24,2.338,2.322,2.232,2.56,2.299,2.665,2.199,2.367,2.398,2.511,2.377,2.396,2.392,2.506,2.435,2.338,2.564,2.384,2.39,2.92,2.643,2.358,2.585,2.461,2.41,2.415,2.51,2.402,2.443,2.833,2.41,2.527,2.414,2.681,2.436,2.414,2.551,2.496,2.633,2.383,2.394,2.715,2.401,2.618,2.491,2.372,2.546,2.463,2.61,2.389,2.433,2.434,2.453
SampleMinimalApi,SampleMinimalApi-Net6-Arm64-NoTC-NoR2R-YesPreJIT-5120,dotnet6,arm64,no,no,yes,1900729,5120MB,100,465.055,244.904,234.21,4.382,3.745,3.12,2.661,2.608,2.49,2.396,2.415,2.571,2.587,2.306,2.416,2.337,2.438,2.775,2.404,2.683,2.605,2.672,2.583,2.346,2.617,2.59,2.375,2.266,2.296,2.269,2.389,2.306,2.219,2.303,2.117,2.226,2.378,2.201,2.302,2.22,2.137,2.156,2.124,2.186,2.16,2.27,2.323,2.163,2.225,2.156,2.126,2.265,2.154,2.159,2.222,2.258,2.18,2.216,2.215,2.17,2.228,2.22,2.286,2.231,2.177,2.286,2.452,2.332,2.263,2.219,2.302,2.366,2.246,2.247,2.198,2.25,2.294,2.237,2.251,2.27,2.283,2.266,2.328,2.246,2.464,2.259,2.315,2.255,2.384,2.397,2.313,2.303,2.33,2.486,2.315,2.287,2.335,2.273,2.36,2.416,2.34,2.427
