Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135785,1024MB,AVERAGE,20,285.433,670.85,4.088,2.486,2.305,2.112,2.149,1.978,1.991,3.26,2.3,2.527,3.564,2.662,2.213,2.726,2.241,2.08,1.98,1.776,1.931,1.893,1.664,1.775,1.902,1.988,1.859,57.444
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,135785,128MB,AVERAGE,20,282.875,5764.488,126.96,40.541,13.224,13.918,6.47,11.843,10.567,11.418,10.982,15.893,6.099,8.14,6.316,6.999,7.315,9.482,5.769,8.357,4.235,7.735,11.395,13.3,4.927,6.562,5.184,373.625
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,135785,1769MB,AVERAGE,20,280.46,387.463,5.634,2.944,2.645,2.334,2.245,1.956,1.991,2.195,3.291,2.681,2.118,2.081,1.975,2.624,2.412,2.58,2.048,2.248,2.414,2.349,2.315,2.499,2.135,2.35,1.95,62.007
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,135785,256MB,AVERAGE,20,283.63,2867.36,33.053,10.456,4.358,2.845,2.69,2.423,2.241,2.007,3.065,5.779,12.634,4.013,2.167,3.26,3.202,2.229,2.222,1.9,2.114,2.323,1.741,1.824,12.853,2.207,2.097,125.698
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,135785,512MB,AVERAGE,20,285.042,1392.612,7.15,2.535,3.967,2.378,2.219,2.268,3.208,2.097,2.031,3.516,2.514,2.038,1.953,2.025,3.425,1.803,1.928,1.903,1.921,1.961,1.827,1.963,1.821,2.709,3.455,64.608
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,238528,1024MB,AVERAGE,20,280.085,149.689,4.563,2.934,2.722,2.544,2.485,2.005,2.274,2.197,2.289,3.03,3.149,2.019,2.108,2.106,2.75,2.012,2.414,1.857,2.607,2.694,1.981,2.24,2.046,2.783,1.856,61.657
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,238528,128MB,AVERAGE,20,281.727,1371.365,105.88,27.051,12.109,11.894,5.352,8.381,9.287,8.53,23.784,9.703,7.944,7.561,5.834,6.822,8.592,9.107,7.112,11.873,15.298,9.592,11.784,6.179,7.86,4.383,7.083,348.987
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,238528,1769MB,AVERAGE,20,280.505,85.136,6.342,4.099,2.323,2.704,2.123,1.943,2.055,2.208,2.142,2.594,2.14,2.784,2.576,3.156,1.927,1.878,2.319,1.98,1.96,2.273,2.349,2.503,2.335,2.217,1.951,62.875
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,238528,256MB,AVERAGE,20,281.083,681.245,29.581,7.219,7.463,2.64,3.751,4.397,2.404,3.337,3.891,4.257,5.696,3.605,2.435,2.63,2.899,2.43,2.078,2.061,2.018,2.254,2.36,2.444,2.497,2.36,2.131,108.832
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,238528,512MB,AVERAGE,20,281.647,327.747,7.629,2.779,2.551,3.067,2.002,2.04,2.348,2.051,2.713,1.836,2.246,2.185,2.06,2.761,2.428,2.035,1.948,1.878,1.91,2.467,2.067,4.561,2.262,1.975,2.216,64.007
