Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135636,1024MB,AVERAGE,100,280.391,664.488,3.848,2.613,2.757,2.423,2.364,2.013,2.055,2.388,2.931,2.441,3.473,2.744,3.163,2.806,2.596,2.835,2.537,2.556,2.163,1.952,1.99,2.21,1.799,1.837,1.91,62.404
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-128,dotnet6,arm64,no,no,135636,128MB,AVERAGE,100,282.571,5765.231,152.266,26.823,15.024,13.644,9.121,8.858,8.544,7.475,12.73,12.615,8.587,9.691,7.353,8.055,9.973,7.419,6.231,10.714,6.13,6.01,7.87,6.615,6.322,6.157,6.91,381.136
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1769,dotnet6,arm64,no,no,135636,1769MB,AVERAGE,100,281.698,382.873,4.131,2.708,2.536,2.324,2.12,1.979,1.999,2.238,2.808,2.838,2.592,2.161,2.675,2.371,2.717,2.287,2.403,2.077,2.655,2.276,2.252,2.323,2.34,1.995,2.146,60.95
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-256,dotnet6,arm64,no,no,135636,256MB,AVERAGE,100,282.836,2871.098,29.88,9.511,6.15,3.897,3.448,2.344,2.599,2.341,3.388,4.849,4.24,4.433,4.334,5.982,3.141,2.749,2.683,3.267,2.54,2.397,3.152,2.359,2.925,2.085,2.01,116.704
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-512,dotnet6,arm64,no,no,135636,512MB,AVERAGE,100,281.264,1391.27,6.209,3.074,2.885,2.57,2.259,2.261,2.219,2.786,2.895,2.443,2.874,2.597,2.405,2.452,2.072,2.561,2.087,2.071,1.977,1.998,2.564,1.993,1.967,3.131,2.113,64.461
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-1024,dotnet6,arm64,no,yes,238382,1024MB,AVERAGE,100,279.594,148.646,5.359,3.273,2.744,2.544,2.257,2.155,2.169,2.255,2.518,2.788,2.355,2.608,2.715,2.443,2.199,2.265,1.963,2.26,2.172,2.344,2.178,2.269,2.27,2.31,2.382,62.793
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-128,dotnet6,arm64,no,yes,238382,128MB,AVERAGE,100,280.892,1350.878,106.891,27.721,15.1,12.022,10.005,8.728,9.197,7.04,14.005,10,10.394,7.303,8.357,6.779,8.633,6.775,9.106,7.456,8.963,8.333,12.553,7.51,9.815,7.213,5.981,345.879
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,238382,1769MB,AVERAGE,100,281.176,88.611,5.59,2.969,2.95,2.624,2.317,2.146,2.104,2.245,2.629,2.529,2.619,2.384,2.683,2.193,2.41,2.23,2.308,2.115,2.207,2.518,2.519,2.166,2.459,2.529,2.034,63.477
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,238382,256MB,AVERAGE,100,280.704,674.798,26.982,7.698,9.912,4.717,3.599,4.276,2.997,3.042,5.906,7.324,7.179,6.018,2.855,3.043,3.018,3.042,3.206,2.505,3.388,2.753,2.826,2.819,2.606,2.806,2.457,126.975
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,238382,512MB,AVERAGE,100,281.175,321.806,7.699,3.892,2.694,2.58,2.619,2.117,2.17,2.626,2.922,2.902,2.121,2.515,2.722,2.28,2.204,2.322,2.13,2.478,2.192,2.4,2.433,2.691,2.441,2.199,2.107,67.454
