Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,2,26,265.88,638.77,2.78,2.28,1.98,2.08,1.99,1.77,1.68,2,2.53,1.78,1.87,4.92,2.03,2.78,1.42,1.77,1.5,1.86,1.7,1.53,1.79,1.74,1.94,1.73,3.57
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,3,26,283.23,656.7,2.89,2.12,2.33,1.9,1.93,1.69,1.82,1.78,5.72,1.84,2.3,1.56,1.55,1.92,1.5,1.52,2.27,3.35,2.31,1.74,2.13,7.21,1.98,1.57,2.55
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,4,26,283.36,660.31,13.13,2.9,2.04,2.32,1.82,2.13,1.97,1.89,2.02,2.51,2.12,4.74,1.64,1.51,1.72,2.04,1.63,2.23,1.65,2.06,1.71,1.88,1.78,1.59,2.15
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,5,26,275.1,660.86,2.7,2.49,1.53,2.17,2.02,3.41,1.46,1.7,1.93,1.65,1.5,1.71,1.57,1.63,1.95,1.51,4.61,1.49,1.52,2.24,1.58,1.45,1.91,1.38,1.95
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,6,26,268.58,632.63,2.42,2.17,2.03,1.83,2.01,1.67,1.63,1.85,1.59,1.79,2.55,4.17,1.47,1.84,3.3,1.83,1.65,1.61,1.92,1.34,2.01,1.97,1.59,1.97,1.48
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,7,26,279.74,676.42,2.8,1.98,1.96,1.9,1.99,1.93,2.05,1.88,1.86,1.95,1.6,14.9,1.67,2.09,1.7,1.87,1.49,1.85,1.64,1.56,1.97,3.94,1.54,1.44,17.43
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,8,26,287.97,674.98,3.31,2.48,2.41,2.45,2.18,3.41,2.19,2.02,1.89,2.07,4.2,1.57,1.42,2.05,1.5,1.59,1.92,1.55,2.5,1.56,1.83,1.63,1.54,2.45,1.66
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,9,26,264.03,690.21,2.75,2.44,2.16,2.19,1.82,1.92,1.94,1.81,2.51,1.72,2.62,1.76,3.88,1.75,1.45,1.65,1.59,1.61,1.58,1.44,2.28,1.42,2.06,1.56,1.58
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,10,26,265.24,629.15,2.74,2.07,1.57,2.18,1.92,1.95,1.55,1.59,1.54,1.61,1.75,5.73,1.65,1.48,4.98,1.52,1.87,1.35,1.91,1.74,7.26,1.52,1.55,2.05,1.48
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-1024,dotnet6,arm64,no,no,135782,1024,11,26,273.22,637.87,7.21,8.38,2.6,2.25,2.33,1.89,1.83,2,1.6,1.89,2.09,1.63,1.69,3.92,1.45,1.75,1.6,1.46,1.81,1.43,1.5,7.61,1.4,1.38,1.67
