Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,no,no,no,135772,1024MB,100,288.863,678.522,196.273,31.86399031966002
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,no,no,no,135772,128MB,164,287.736,5869.019,868.443,31.42915960080184
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,no,no,no,135772,1769MB,100,286.18,388.014,199.786,33.73935565867939
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,no,no,no,135772,256MB,100,288.127,2931.262,300.739,30.973392200025003
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,no,no,no,135772,512MB,100,286.654,1415.853,200.063,30.972830530550002
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,no,no,no,135772,5120MB,100,250.923,375.06,209.385,59.163194815
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,no,no,yes,135772,1024MB,100,320.636,661.062,197.578,31.64858524264
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,no,no,yes,135772,128MB,165,321.381,5748.246,903.837,31.2868604845303
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnet6,arm64,no,no,yes,135772,1769MB,100,321.32,379.348,199.012,33.52191729154507
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnet6,arm64,no,no,yes,135772,256MB,100,319.729,2844.892,294.172,30.663598984399997
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnet6,arm64,no,no,yes,135772,512MB,100,321.619,1378.093,205.698,30.758661459709995
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnet6,arm64,no,no,yes,135772,5120MB,100,280.722,362.264,209.462,58.3152305752
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnet6,arm64,no,yes,no,238657,1024MB,100,285.622,155.487,199.86,24.937986356480003
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnet6,arm64,no,yes,no,238657,128MB,100,288.047,1389.137,772.562,23.802850847497496
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnet6,arm64,no,yes,no,238657,1769MB,100,285.782,92.206,199.097,26.909857459275795
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnet6,arm64,no,yes,no,238657,256MB,100,287.093,702.015,294.423,23.521475607295
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnet6,arm64,no,yes,no,238657,512MB,100,287.452,335.712,206.218,23.81288273099
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnet6,arm64,no,yes,no,238657,5120MB,100,250.836,86.404,212.154,40.103952852599996
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnet6,arm64,no,yes,yes,238657,1024MB,100,312.871,142.907,200.989,24.78530025972
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnet6,arm64,no,yes,yes,238657,128MB,100,311.867,1296.171,817.699,23.7231331155775
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnet6,arm64,no,yes,yes,238657,1769MB,100,312.175,84.77,199.04,26.73725241005695
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00256,dotnet6,arm64,no,yes,yes,238657,256MB,100,311.507,660.822,295.178,23.38668193333
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00512,dotnet6,arm64,no,yes,yes,238657,512MB,100,312.017,315.322,204.109,23.662889981029995
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-05120,dotnet6,arm64,no,yes,yes,238657,5120MB,100,275.185,80.265,211.105,39.6247304565
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-01024,dotnet6,arm64,yes,no,no,135773,1024MB,100,254.338,324.085,234.032,27.6415972078
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00128,dotnet6,arm64,yes,no,no,135773,128MB,169,250.125,3098.67,3487.518,31.177034174837285
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-01769,dotnet6,arm64,yes,no,no,135773,1769MB,100,252.527,187.754,228.93,29.797888782172716
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00256,dotnet6,arm64,yes,no,no,135773,256MB,100,253.027,1481.155,934.091,28.250860920769995
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-00512,dotnet6,arm64,yes,no,no,135773,512MB,100,251.777,677.341,328.025,26.902468845509997
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,yes,no,no,135773,5120MB,100,229.557,181.902,228.717,47.574776873199994
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,yes,no,yes,135773,1024MB,100,280.327,307.865,232.786,27.40870537668
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,yes,no,yes,135773,128MB,170,281.704,2914.745,3650.23,31.141680982641173
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-01769,dotnet6,arm64,yes,no,yes,135773,1769MB,100,280.912,180.076,226.249,29.559266073440135
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-00256,dotnet6,arm64,yes,no,yes,135773,256MB,100,282.065,1400.692,931.069,27.972575862684998
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-00512,dotnet6,arm64,yes,no,yes,135773,512MB,100,283.056,651.591,332.355,26.759673464869998
SourceGeneratorJson,SourceGeneratorJson-Net6-Arm64-YesTC-NoR2R-YesPreJIT-05120,dotnet6,arm64,yes,no,yes,135773,5120MB,100,257.276,172.524,225.937,46.7641661535
