Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,47115,1024MB,AVERAGE,20,174.746,196.812,2.975,2.306,2.074,1.958,1.624,1.785,1.776,1.912,2.129,1.996,1.784,2.241,1.742,2.338,1.835,2.082,1.992,1.529,2.174,1.598,1.684,1.657,2.249,2.538,2.199,50.172
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,47115,128MB,AVERAGE,20,176.55,1861.413,16.07,4.674,4.139,3.83,3.798,3.244,5.215,5.409,6.558,6.247,5.316,5.508,3.287,9.21,18.64,8.079,16.154,15.283,6.426,3.552,3.275,1.924,2.84,2.598,3.396,164.665
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,47115,1769MB,AVERAGE,20,177.088,115.559,1.903,2.434,1.892,1.867,2.699,2.05,1.993,1.783,2.405,2.021,2.975,2.389,2.213,1.998,2.12,2.272,1.967,1.698,1.849,1.99,1.85,1.737,2.326,2.562,2.359,53.348
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,47115,256MB,AVERAGE,20,175.987,880.222,5.368,2.486,1.717,1.635,1.77,2.748,1.691,3.932,5.549,12.839,5.368,7.037,6.228,3.255,3.362,2.673,1.981,1.475,1.532,1.72,1.49,1.925,1.587,1.54,1.684,82.586
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,47115,512MB,AVERAGE,20,177.301,417.498,2.789,1.991,1.749,1.816,1.607,1.953,1.61,2.082,2.52,2.098,1.975,1.709,2.146,2.074,2.724,2.044,1.987,1.637,2.31,1.537,2.887,1.775,3.069,2.49,2.307,52.88
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,53281,1024MB,AVERAGE,20,176.286,188.522,2.352,2.294,2.331,1.907,1.979,1.77,1.644,1.643,2.611,2.136,2.398,2.48,1.641,2.573,1.932,3.059,2.174,1.641,1.691,1.593,2.233,1.852,2.509,2.189,2.125,52.751
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,53281,128MB,AVERAGE,20,176.725,1820.57,9.056,4.882,3.788,2.596,2.114,2.654,3.591,2.634,6.717,4.849,5.228,18.603,4.277,3.659,10.352,7.858,5.486,11.205,10.525,4.048,2.536,11.667,2.49,4.748,2.598,148.154
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,53281,1769MB,AVERAGE,20,175.431,111.835,2.304,2.13,1.958,1.755,1.866,1.908,2.344,2.166,1.864,2.16,1.859,1.727,2.093,1.824,1.992,2.409,2.23,2.23,2.355,1.725,2.471,1.693,1.806,2.027,2.951,51.842
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,53281,256MB,AVERAGE,20,173.484,852.276,3.881,2.009,2.444,1.701,2.401,2.717,1.712,2.132,3.789,8.09,3.786,4.053,7.217,3.937,2.698,1.943,1.836,2.731,1.993,2.839,1.516,1.61,1.882,1.464,2.563,72.939
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,53281,512MB,AVERAGE,20,174.805,396.685,2.197,2.495,1.747,2.173,1.89,1.626,1.638,2.353,1.826,2.484,1.72,1.736,2.758,3.117,2.929,1.915,2.355,1.938,2.484,1.577,2.588,3.079,2.129,2.356,1.852,54.956
