Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-1024,dotnetcore3.1,arm64,no,no,47103,1024MB,AVERAGE,100,175.69,195.791,2.385,1.924,1.997,2.022,1.803,1.782,1.86,1.826,2.24,2.148,1.877,2.29,1.966,2.187,2.181,2.253,2.053,2.047,1.916,2.305,1.939,1.774,2.893,2.417,2.577,52.662
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-128,dotnetcore3.1,arm64,no,no,47103,128MB,AVERAGE,100,176.782,1855.613,12.496,4.064,3.807,2.982,4.681,2.414,2.281,3.318,3.721,4.068,4.376,5.685,5.147,5.863,10.601,8.079,11.28,11.207,8.703,7.002,5.62,4.088,4.09,3.257,2.853,141.679
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-1769,dotnetcore3.1,arm64,no,no,47103,1769MB,AVERAGE,100,176.154,115.641,2.709,1.895,2.206,1.93,2.064,1.838,1.765,1.971,2.459,2.171,2.196,2.047,2.06,2.209,2.133,2.012,2.057,2.325,2.014,1.993,1.968,2.02,2.413,2.185,2.738,53.377
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-256,dotnetcore3.1,arm64,no,no,47103,256MB,AVERAGE,100,176.592,877.408,5.177,2.32,2.301,2.059,1.975,2.566,2.276,3.146,5.45,7.38,5.578,5.607,6.606,4.192,2.868,2.332,3.123,1.955,2.274,1.738,1.691,2.451,2.016,2.055,2.053,81.187
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-512,dotnetcore3.1,arm64,no,no,47103,512MB,AVERAGE,100,176.893,413.975,2.466,1.91,1.853,1.933,2.002,1.775,1.771,2.379,2.566,2.249,2.262,2.221,2.381,2.755,2.044,2.14,2.271,2.161,1.832,2.261,1.741,1.755,2.833,2.513,2.529,54.602
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-1024,dotnetcore3.1,arm64,no,yes,53277,1024MB,AVERAGE,100,175.682,189.206,2.586,2.005,1.949,1.764,1.789,1.834,1.889,1.919,2.224,2.251,2.373,2.136,2.837,2.141,1.896,2.072,1.967,1.988,1.964,1.828,1.952,1.874,2.631,2.484,2.324,52.674
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-128,dotnetcore3.1,arm64,no,yes,53277,128MB,AVERAGE,100,174.699,1806.297,12.115,4.269,3.821,3.382,2.967,2.807,3.46,2.756,6.009,5.103,4.826,6.106,6.214,4.197,9.125,9.114,14.954,7.594,10.095,6.476,7.342,7.104,4.654,5.136,4.396,154.022
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-1769,dotnetcore3.1,arm64,no,yes,53277,1769MB,AVERAGE,100,175.27,110.436,2.666,2.209,1.98,1.875,1.889,2.006,1.891,2.037,2.438,2.057,2.259,1.904,1.851,2.11,2.078,1.84,2.169,1.813,1.891,2.127,1.949,1.876,2.377,2.1,2.386,51.779
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-256,dotnetcore3.1,arm64,no,yes,53277,256MB,AVERAGE,100,175.299,855.602,4.66,2.07,2.023,1.979,1.988,2.025,1.971,3.75,4.931,6.192,4.547,5.482,6.286,4.989,4.105,2.875,2.808,2.554,2.92,2.173,1.806,2.006,2.05,2.296,2.063,80.547
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-512,dotnetcore3.1,arm64,no,yes,53277,512MB,AVERAGE,100,174.789,397.66,2.261,2.339,2.098,1.875,1.922,1.898,2.232,2.05,2.394,1.937,2.343,1.889,2.403,2.154,2.109,1.965,1.892,1.77,1.798,1.934,1.807,1.894,2.378,2.286,2.622,52.25
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-1024,dotnetcore3.1,arm64,yes,no,47103,1024MB,AVERAGE,100,166.279,191.717,2.536,2.126,1.932,2.1,1.916,2.188,2.01,2.139,2.494,2.547,3.277,4.139,4.495,4.312,4.143,3.458,4.211,3.57,3.882,3.275,3.669,3.004,3.133,3.644,3.408,77.607
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-128,dotnetcore3.1,arm64,yes,no,47103,128MB,AVERAGE,100,166.258,2008.061,19.818,8.552,9.017,8.341,11.688,13.684,22.131,39.419,40.832,45.456,42.325,42.792,30.359,28.875,32.157,32.117,31.432,33.722,40.594,39.08,44.579,35.749,43.313,41.497,47.14,784.665
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-1769,dotnetcore3.1,arm64,yes,no,47103,1769MB,AVERAGE,100,166.506,115.794,2.929,2.34,2.371,2.098,1.94,1.796,2.093,2.557,2.599,3.081,3.691,3.767,4.262,4.335,4.099,3.776,3.922,3.664,3.247,3.951,2.923,3.397,3.181,3.396,3.168,78.583
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-256,dotnetcore3.1,arm64,yes,no,47103,256MB,AVERAGE,100,166.011,915.684,9.225,5.995,4.686,4.418,4.638,9.214,6.006,9.927,11.685,8.602,7.789,10.45,7.1,6.955,10.179,10.988,8.504,9.774,11.743,13.484,14.178,13.297,14.103,15.424,12.606,240.97
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-NoR2R-512,dotnetcore3.1,arm64,yes,no,47103,512MB,AVERAGE,100,166.124,408.181,3.225,2.389,2.116,2.748,2.147,2.08,2.392,2.726,4.459,4.491,6.034,4.985,6.179,5.447,5.876,5.74,4.726,4.728,5.929,4.531,4.445,4.063,5.925,6.369,6.927,110.678
SystemTextJson,SystemTextJson-Core31-Arm64-YesTC-YesR2R-1024,dotnetcore3.1,arm64,yes,yes,53277,1024MB,AVERAGE,100,165.86,189.617,2.911,2.113,2.143,2.224,2.179,1.903,2.155,2.295,2.547,2.324,3.007,4.082,4.052,4.901,3.82,4.757,4.314,3.238,3.33,3.783,3.673,3.07,3.775,3.503,3.131,79.229
