Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,no,no,47106,1024MB,100,179.54,203.463,173.543,25.22677313374
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,no,no,47106,128MB,100,178.643,1893.325,390.547,24.006472365599997
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,no,no,47106,1769MB,100,178.886,118.714,176.485,26.99960932079328
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00256,dotnetcore3.1,arm64,no,no,no,47106,256MB,100,177.15,897.925,208.773,23.889011778299995
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-00512,dotnetcore3.1,arm64,no,no,no,47106,512MB,100,177.34,426.446,172.948,24.19598464649
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnetcore3.1,arm64,no,no,no,47106,5120MB,100,171.001,117.215,171.081,39.4197827651
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnetcore3.1,arm64,no,no,yes,47106,1024MB,100,234.3,158.76,176.352,24.668185007479998
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnetcore3.1,arm64,no,no,yes,47106,128MB,100,232.611,1505.382,362.672,23.313437900445
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnetcore3.1,arm64,no,no,yes,47106,1769MB,100,234.35,95.215,176.115,26.449804596522988
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnetcore3.1,arm64,no,no,yes,47106,256MB,100,234.137,707.52,212.684,23.26736133673
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnetcore3.1,arm64,no,no,yes,47106,512MB,100,235.823,336.04,175.061,23.607354370019998
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnetcore3.1,arm64,no,no,yes,47106,5120MB,100,222.692,93.719,171.806,37.9017485083
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,arm64,no,yes,no,53279,1024MB,100,177.375,195.148,175.526,25.14234204492
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,arm64,no,yes,no,53279,128MB,100,177.048,1824.949,392.819,23.8962969813925
SystemTextJson,SystemTextJson-Core31-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,arm64,no,yes,no,53279,1769MB,100,177.969,114.187,177.709,26.92353503026748
